sample_idx,bs_precision,bs_recall,bs_f1
0,0.6199,0.8214,0.7161
1,0.7328,0.4672,0.5911
2,0.7092,0.4231,0.5555
3,0.4744,0.3461,0.4099
4,0.5801,0.6246,0.6037
5,0.6215,0.5519,0.5876
6,0.5377,0.4107,0.4737
7,0.5138,0.3996,0.4568
8,0.4354,0.4619,0.4507
9,0.4914,0.4482,0.4716
10,0.5524,0.4935,0.5243
11,0.6469,0.7364,0.6917
12,0.4570,0.5221,0.4909
13,0.4965,0.4607,0.4805
14,0.3137,-0.0928,0.0792
15,0.3118,0.2186,0.2665
16,0.2448,0.2515,0.2512
17,0.5299,0.4002,0.4645
18,0.5432,0.0539,0.2579
19,0.5053,0.4220,0.4647
20,0.4363,0.3911,0.4157
21,0.6240,0.3842,0.4970
22,0.3753,0.3580,0.3692
23,0.5681,0.6230,0.5967
24,0.4162,0.3644,0.3923
25,0.5744,0.3284,0.4437
26,0.2628,0.1444,0.2041
27,0.5767,0.1851,0.3571
28,0.6127,0.6228,0.6193
29,0.7552,0.2959,0.4946
30,0.5530,0.5183,0.5374
31,0.2560,0.2248,0.2433
32,0.5574,0.5223,0.5415
33,0.5928,0.5146,0.5546
34,0.3821,0.3359,0.3612
35,0.6610,0.7457,0.7035
36,0.5588,0.2984,0.4197
37,0.4942,0.4955,0.4969
38,0.6061,0.5855,0.5973
39,0.4119,0.3710,0.3937
40,0.5134,0.3679,0.4395
41,0.3203,0.3073,0.3165
42,0.3554,0.2061,0.2796
43,0.3846,0.3625,0.3760
44,0.7191,0.5111,0.6103
45,0.5072,0.1570,0.3131
46,0.3004,0.4692,0.3824
47,0.5215,0.2980,0.4037
48,0.3926,0.5560,0.4721
49,0.5584,0.5038,0.5325
50,0.5069,0.6206,0.5635
51,0.3893,0.5382,0.4623
52,0.5613,0.5142,0.5393
53,0.7089,0.4542,0.5735
54,0.2248,0.2241,0.2275
55,0.8093,0.2033,0.4503
56,0.7125,0.5406,0.6238
57,0.6268,0.6192,0.6245
58,0.7313,0.7476,0.7405
59,0.5100,0.6366,0.5726
60,0.5557,0.4627,0.5098
61,0.7041,0.7906,0.7473
62,0.4859,0.4593,0.4746
63,0.6266,0.7629,0.6934
64,0.2956,0.3284,0.3146
65,0.4879,0.4733,0.4826
66,0.5421,0.5027,0.5241
67,0.2340,0.4942,0.3549
68,0.6349,0.6461,0.6419
69,0.5171,0.5873,0.5532
70,0.4030,0.3070,0.3560
71,0.5820,0.5237,0.5541
72,0.1874,0.4204,0.2969
73,0.8084,0.6984,0.7528
74,0.5408,-0.1452,0.1087
75,0.4276,0.4511,0.4415
76,0.7164,0.6343,0.6757
77,0.5407,0.5001,0.5221
78,0.5882,0.6273,0.6091
79,0.5875,0.5212,0.5555
80,0.4365,0.4677,0.4541
81,0.3127,0.0304,0.1589
82,0.3612,0.4020,0.3838
83,0.4015,0.3379,0.3716
84,0.3300,0.4074,0.3702
85,0.1298,-0.0520,0.0354
86,0.4478,0.4819,0.4668
87,0.3275,0.0866,0.1989
88,0.4592,0.4918,0.4774
89,0.3513,0.2860,0.3207
90,0.4958,0.3326,0.4121
91,0.7228,0.7047,0.7148
92,0.3477,0.5108,0.4271
93,0.4844,0.4981,0.4933
94,0.5358,0.6788,0.6058
95,0.6945,0.5895,0.6419
96,0.5611,0.4409,0.5007
97,0.6252,0.3690,0.4887
98,0.3602,0.4386,0.4007
99,0.7178,0.3833,0.5352
100,0.3492,0.3648,0.3595
101,0.6630,0.4788,0.5675
102,0.3603,0.4059,0.3852
103,0.3848,0.3974,0.3935
104,0.1731,-0.0390,0.0610
105,0.2736,0.3138,0.2962
106,0.4891,0.6650,0.5741
107,0.4465,0.5136,0.4814
108,0.6397,0.6028,0.6226
109,0.7018,0.1731,0.3936
110,0.6860,0.7354,0.7115
111,0.6378,0.5592,0.5992
112,0.5484,0.4507,0.5000
113,0.3758,0.3963,0.3884
114,0.5409,0.5544,0.5494
115,0.4652,0.3895,0.4287
116,0.1925,0.4157,0.2978
117,0.4832,0.3438,0.4126
118,0.6176,0.6220,0.6213
119,0.1135,0.3795,0.2361
120,0.7406,0.5877,0.6622
121,0.3284,0.1424,0.2319
122,0.3752,0.4039,0.3918
123,0.3548,0.0851,0.2090
124,0.6581,0.7517,0.7049
125,0.4398,0.2965,0.3671
126,0.1482,0.2561,0.2031
127,0.5604,0.4795,0.5208
128,0.4773,0.4967,0.4890
