sample_idx,bs_precision,bs_recall,bs_f1
0,0.6402,0.1560,0.3608
1,0.4426,-0.0164,0.1755
2,0.6553,-0.0858,0.1868
3,0.4012,0.1354,0.2581
4,0.5964,0.3585,0.4705
5,0.6878,0.4654,0.5709
6,0.5632,0.3175,0.4327
7,0.5394,0.2938,0.4089
8,0.4418,0.4067,0.4264
9,0.5355,0.3992,0.4665
10,0.6578,-0.0443,0.2205
11,0.5533,0.2559,0.3921
12,0.4484,0.4946,0.4733
13,0.5016,0.2694,0.3788
14,0.2793,-0.1097,0.0559
15,0.2821,-0.1071,0.0586
16,0.2926,0.1516,0.2214
17,0.3700,0.1726,0.2670
18,0.7547,-0.0364,0.2528
19,0.3042,0.2600,0.2846
20,0.5163,0.1189,0.2921
21,0.6392,0.2190,0.4021
22,0.5175,0.1604,0.3192
23,0.4632,0.0791,0.2468
24,0.4151,0.1867,0.2943
25,0.2371,0.0720,0.1524
26,0.4806,-0.1240,0.1088
27,0.4670,0.2137,0.3317
28,0.5341,0.2439,0.3771
29,0.5853,0.1097,0.3105
30,0.4212,0.1530,0.2768
31,0.6008,0.1194,0.3224
32,0.4698,0.0918,0.2574
33,0.4287,0.3392,0.3850
34,0.6258,0.0952,0.3141
35,0.4953,0.2067,0.3390
36,0.4883,0.0450,0.2330
37,0.5044,0.3854,0.4448
38,0.5893,0.4579,0.5228
39,0.3485,0.2669,0.3093
40,0.3539,0.2451,0.3002
41,0.3531,0.1372,0.2394
42,0.5024,0.1374,0.2988
43,0.4999,0.3871,0.4436
44,0.6962,0.4176,0.5468
45,0.6746,0.0787,0.3181
46,0.3912,0.1184,0.2438
47,0.3341,0.0981,0.2085
48,0.5063,0.1871,0.3314
49,0.5501,0.1223,0.3065
50,0.4641,0.0137,0.2034
51,0.1909,0.0773,0.1350
52,0.4417,0.0095,0.1929
53,0.7465,0.3439,0.5221
54,0.3403,-0.1157,0.0722
55,0.5289,0.2078,0.3531
56,0.4509,0.0012,0.1903
57,0.3253,-0.0412,0.1179
58,0.7240,0.6598,0.6925
59,0.5841,0.4616,0.5225
60,0.2600,-0.0717,0.0743
61,0.5818,0.1456,0.3333
62,0.5264,0.3193,0.4180
63,0.5141,0.3131,0.4092
64,0.5275,0.2135,0.3560
65,0.2510,0.0878,0.1674
66,0.3084,-0.0816,0.0850
67,0.1330,0.2719,0.2019
68,0.6996,0.6184,0.6594
69,0.5721,0.5321,0.5536
70,0.4609,0.1635,0.2991
71,0.6347,0.3647,0.4902
72,0.5854,0.4922,0.5393
73,0.8162,0.6641,0.7380
74,0.3725,-0.0893,0.1013
75,0.3888,0.4469,0.4196
76,0.3504,0.1083,0.2213
77,0.3173,-0.1058,0.0715
78,0.6250,0.1159,0.3282
79,0.8424,0.3890,0.5869
80,0.3916,0.2357,0.3121
81,0.1773,-0.2441,-0.0718
82,0.3807,0.0152,0.1750
83,0.5158,-0.0181,0.1982
84,0.5376,0.0366,0.2440
85,0.5236,-0.0840,0.1518
86,0.6312,0.0512,0.2846
87,0.4560,-0.0424,0.1616
88,0.3956,-0.0425,0.1416
89,0.3304,0.1744,0.2509
90,0.3433,0.0725,0.1969
91,0.4310,0.1310,0.2673
92,0.6484,0.5545,0.6018
93,0.4861,0.1742,0.3156
94,0.4824,0.2600,0.3652
95,0.4530,0.2516,0.3478
96,0.1018,0.0178,0.0620
97,0.6380,0.3866,0.5043
98,0.4369,0.0141,0.1943
99,0.6342,0.0503,0.2848
100,0.3722,-0.0243,0.1459
101,0.5871,-0.2286,0.0501
102,0.4232,0.3875,0.4075
103,0.5700,0.2455,0.3924
104,0.6461,-0.1616,0.1216
105,0.2507,0.0042,0.1184
106,0.5062,0.0427,0.2376
107,0.2449,0.1546,0.2014
108,0.5142,0.0337,0.2341
109,0.6739,0.1222,0.3489
110,0.6366,0.2585,0.4264
111,0.4820,0.4652,0.4757
112,0.5473,0.3662,0.4536
113,0.1808,-0.1249,0.0107
114,0.6029,0.2911,0.4333
115,0.4726,0.2045,0.3285
116,0.5259,0.2922,0.4023
117,0.5769,0.1261,0.3186
118,0.6569,0.3216,0.4734
119,0.1278,0.3519,0.2333
120,0.6254,0.4321,0.5248
121,0.2389,0.0125,0.1186
122,0.2881,0.1198,0.2017
123,0.3416,0.0325,0.1714
124,0.3773,-0.0690,0.1171
125,0.4103,-0.1409,0.0755
126,0.4326,0.1231,0.2631
127,0.6622,0.1430,0.3595
128,0.3966,0.1245,0.2497
129,0.5630,0.3993,0.4790
130,0.5186,0.1612,0.3200
131,0.4497,0.2163,0.3261
132,0.5957,0.3811,0.4831
133,0.5702,0.4217,0.4945
134,0.4822,0.2344,0.3502
135,0.4023,-0.0929,0.1083
136,0.4734,0.1631,0.3038
137,0.4785,0.1514,0.2985
138,0.2061,-0.0599,0.0614
139,0.5604,0.5958,0.5796
140,0.5513,0.1649,0.3347
141,0.6615,0.4742,0.5642
142,0.4428,-0.0899,0.1232
143,0.4369,0.1496,0.2810
144,0.4502,0.1292,0.2737
145,0.4045,0.3224,0.3649
146,0.3814,0.3619,0.3742
147,0.5828,0.2719,0.4136
148,0.6733,0.0778,0.3170
149,0.6653,0.2311,0.4196
150,0.7219,0.3747,0.5316
151,0.6187,0.0550,0.2834
152,0.5923,0.1432,0.3354
153,0.3590,0.1751,0.2637
154,0.5654,0.0651,0.2731
155,0.5389,0.4157,0.4770
156,0.6143,0.2313,0.4007
157,0.5778,0.2184,0.3786
158,0.3467,0.0243,0.1682
159,0.4950,0.2563,0.3684
160,0.4070,0.3184,0.3639
161,0.3464,-0.1133,0.0759
162,0.4580,0.2697,0.3602
163,0.6304,0.4873,0.5575
164,0.3653,-0.0518,0.1249
165,0.4598,0.3788,0.4206
166,0.2609,-0.0607,0.0818
167,0.5856,0.1416,0.3320
168,0.3689,0.0139,0.1699
169,0.6257,-0.0389,0.2157
170,0.7897,0.2016,0.4427
171,0.4533,0.1886,0.3111
172,0.3821,0.0906,0.2233
173,0.6386,0.1750,0.3730
174,0.5186,0.3142,0.4118
175,0.4604,0.2411,0.3449
176,0.5776,0.3353,0.4491
177,0.6703,0.2869,0.4571
178,0.5086,0.2879,0.3924
179,0.3451,0.1749,0.2576
180,0.5949,-0.2294,0.0511
181,0.6422,0.3507,0.4850
182,0.6742,0.1770,0.3868
183,0.5338,0.3651,0.4470
184,0.6116,-0.0284,0.2197
185,0.5944,0.2467,0.4027
186,0.3762,0.0651,0.2052
187,0.5363,0.1851,0.3419
188,0.6170,0.3863,0.4952
189,0.8291,0.4775,0.6369
190,0.6624,0.1488,0.3636
191,0.4995,0.0234,0.2221
192,0.3998,0.2559,0.3269
193,0.4747,0.1649,0.3054
194,0.5764,0.3461,0.4548
195,0.2619,-0.0114,0.1132
196,0.4793,0.2671,0.3680
197,0.2858,0.0815,0.1787
198,0.6617,0.1798,0.3843
199,0.4730,0.3799,0.4273
