sample_idx,bs_precision,bs_recall,bs_f1
0,0.9785,0.8430,0.9088
1,0.7671,0.5770,0.6682
2,0.2366,0.3567,0.2968
3,0.0822,0.4526,0.2447
4,0.2992,-0.0915,0.0752
5,0.9059,0.2263,0.4976
6,0.4591,0.0436,0.2219
7,0.4944,0.4676,0.4829
8,0.3808,-0.1305,0.0743
9,0.4217,0.4494,0.4376
10,0.1804,0.1327,0.1595
11,0.4354,0.7374,0.5743
12,0.4903,0.0135,0.2121
13,0.5430,0.5888,0.5673
14,0.6207,-0.0237,0.2258
15,0.4084,0.6826,0.5357
16,0.6525,0.7359,0.6945
17,0.0755,0.3706,0.2094
18,0.4805,0.7561,0.6086
19,0.4942,0.5676,0.5320
20,0.8952,0.6634,0.7730
21,0.7417,0.5694,0.6526
22,0.0361,0.4853,0.2259
23,0.3102,0.5258,0.4125
24,0.8857,0.7434,0.8126
25,0.9135,0.9465,0.9302
26,0.2189,0.2154,0.2203
27,0.0325,0.1869,0.1082
28,0.6015,0.3810,0.4856
29,0.9360,0.8874,0.9118
30,0.9068,0.7593,0.8309
31,0.6884,0.0194,0.2783
32,0.0763,0.0539,0.0688
33,0.8872,0.7753,0.8303
34,0.2189,0.7097,0.4273
35,0.6669,0.5492,0.6076
36,0.5322,0.1521,0.3194
37,0.3778,0.2869,0.3336
38,0.1518,0.6033,0.3450
39,0.4905,0.5185,0.5064
40,0.1286,0.6932,0.3596
41,0.3155,0.3114,0.3162
42,0.7004,0.7525,0.7272
43,0.0746,-0.2824,-0.1322
44,0.2390,0.3744,0.3061
45,0.3334,0.0649,0.1882
46,0.1734,0.6885,0.3892
47,0.7633,0.2109,0.4404
48,0.7362,0.0347,0.3038
49,0.9890,0.9951,0.9921
50,0.7802,0.8946,0.8363
51,0.0178,0.4435,0.1990
52,0.6846,0.3521,0.5030
53,0.1194,0.6305,0.3324
54,0.3301,0.6345,0.4695
55,0.1385,0.4709,0.2874
56,0.7830,0.7346,0.7595
57,0.1988,0.6400,0.3891
58,0.6524,0.5888,0.6215
59,0.6604,0.2585,0.4354
60,0.7639,0.3766,0.5493
61,0.8606,0.6006,0.7223
62,0.7789,0.4788,0.6172
63,0.4634,0.3160,0.3885
64,0.6453,0.6843,0.6659
65,0.8524,0.8747,0.8640
66,0.7401,0.4111,0.5610
67,0.4117,0.2058,0.3039
68,0.6811,0.2736,0.4528
69,0.6334,0.7871,0.7081
70,0.2629,-0.1715,0.0075
71,0.1250,0.1370,0.1345
72,0.0691,0.4155,0.2225
73,0.6921,0.6256,0.6596
74,0.5614,0.6450,0.6037
75,0.5797,0.4875,0.5342
76,0.3534,0.3581,0.3583
77,0.8249,0.4751,0.6338
78,0.4674,0.7170,0.5845
79,-0.1587,0.1460,-0.0241
80,0.5867,0.5428,0.5662
81,0.5671,0.9511,0.7399
82,0.1058,0.2890,0.1940
83,0.3470,0.4273,0.3885
84,0.7766,0.7718,0.7751
85,0.4446,0.5185,0.4828
86,0.5506,0.5937,0.5736
87,0.4762,0.6514,0.5609
88,0.4626,-0.2691,-0.0138
89,0.7136,0.5887,0.6503
90,0.4754,0.5712,0.5237
91,0.5992,0.4321,0.5132
92,0.8595,0.8704,0.8655
93,0.0716,0.4621,0.2413
94,0.0669,0.0810,0.0777
95,0.4628,0.3418,0.4022
96,0.5710,0.2037,0.3668
97,0.7693,0.7446,0.7578
98,0.6728,0.6766,0.6760
99,0.2388,-0.4024,-0.1809
100,0.7670,0.7744,0.7716
101,0.8873,0.4425,0.6379
102,0.5154,0.2894,0.3962
103,0.8371,0.2149,0.4676
104,0.7286,0.0141,0.2858
105,-0.0012,0.5364,0.2167
106,0.8485,0.6291,0.7332
107,0.4556,0.4051,0.4322
108,1.0000,1.0000,1.0000
109,0.8238,0.6697,0.7446
110,0.2730,-0.0073,0.1201
111,0.4568,0.0903,0.2516
112,0.9136,0.6279,0.7607
113,0.8444,0.9238,0.8838
114,0.3659,0.3267,0.3487
115,0.7150,0.7872,0.7514
116,0.7288,0.4448,0.5764
117,0.5199,0.1005,0.2813
118,0.3073,0.6470,0.4606
119,0.5963,0.5798,0.5897
120,0.6381,0.5473,0.5931
121,0.4389,0.2564,0.3444
122,-0.2245,0.4178,0.0121
123,0.7608,0.1965,0.4296
124,0.1759,0.0882,0.1340
125,0.2101,0.4229,0.3111
126,1.0000,1.0000,1.0000
127,0.7595,0.8481,0.8036
128,0.1306,0.3211,0.2220
129,0.0670,0.5227,0.2597
130,0.2683,0.5060,0.3799
131,0.4747,0.3195,0.3954
132,0.6212,0.4548,0.5356
133,0.9752,0.9752,0.9753
134,0.0582,0.1122,0.0882
135,0.8635,0.6790,0.7676
136,0.1937,0.0214,0.1049
137,0.6428,0.5359,0.5893
138,0.4905,0.3852,0.4383
139,0.6863,0.8325,0.7575
140,0.6110,0.0687,0.2907
141,0.0911,0.6675,0.3247
142,0.7065,0.2638,0.4559
143,-0.0438,0.4272,0.1511
144,0.6126,0.6236,0.6196
145,0.5010,0.2074,0.3417
146,0.6165,0.3530,0.4758
147,0.7043,0.2473,0.4444
148,0.8447,0.5813,0.7045
149,0.3187,0.1637,0.2397
150,0.2088,0.0844,0.1468
151,0.4932,0.4652,0.4812
152,0.4851,-0.5353,-0.2688
153,0.7624,0.7042,0.7339
154,0.5653,-0.1183,0.1368
155,0.3028,0.3005,0.3045
156,0.2774,0.3167,0.2996
157,1.0000,1.0000,1.0000
158,0.5640,0.9267,0.7283
159,0.4404,0.5726,0.5057
160,0.8341,0.7020,0.7666
161,0.6060,0.2615,0.4164
162,0.4664,0.5886,0.5271
163,0.8292,0.3318,0.5449
164,0.3144,0.3717,0.3451
165,0.5953,0.7786,0.6834
166,0.4234,0.4875,0.4570
167,0.6788,0.7699,0.7243
168,0.2043,0.4349,0.3128
169,0.2277,0.7763,0.4563
170,0.5168,0.4255,0.4720
171,0.8116,0.5792,0.6890
172,0.7830,0.6335,0.7063
173,0.7817,0.5374,0.6524
174,0.6054,0.1366,0.3356
175,0.2136,0.5158,0.3513
176,0.7870,0.6984,0.7427
177,0.8349,0.4522,0.6237
178,0.4040,0.4916,0.4487
179,0.8863,0.7799,0.8323
180,0.5763,0.2988,0.4272
181,0.2081,0.4540,0.3229
182,0.6920,0.6244,0.6589
183,0.9094,0.5024,0.6839
184,0.4867,0.7181,0.5960
185,0.6341,0.1902,0.3814
186,0.3435,0.5765,0.4533
187,0.6848,0.6743,0.6808
188,0.8811,0.7618,0.8203
189,0.9369,0.8068,0.8702
190,0.8102,0.6102,0.7058
191,0.6715,0.1234,0.3490
192,0.3489,0.7541,0.5280
193,0.4008,0.3347,0.3696
194,0.9729,0.9769,0.9750
195,0.7242,0.5866,0.6541
196,0.0196,0.3549,0.1682
197,0.6654,0.5355,0.5995
198,0.7464,0.6584,0.7025
199,0.9597,0.7617,0.8562
