sample_idx,bs_precision,bs_recall,bs_f1
0,0.5020,0.7826,0.6323
1,0.7913,0.7154,0.7536
2,0.3247,0.3805,0.3546
3,0.2626,0.5134,0.3797
4,0.1955,0.0026,0.0948
5,0.5961,-0.0203,0.2212
6,0.1990,0.0857,0.1432
7,0.5120,0.4411,0.4778
8,0.3059,-0.1297,0.0511
9,0.7180,0.8365,0.7763
10,0.1324,0.2536,0.1933
11,0.4177,0.7513,0.5694
12,0.4786,0.3637,0.4213
13,0.4796,0.3291,0.4029
14,0.7171,0.0363,0.2995
15,0.5451,0.7599,0.6472
16,0.1745,0.7133,0.3983
17,0.3603,0.4110,0.3877
18,0.2876,0.4781,0.3791
19,0.2234,0.3173,0.2716
20,0.4359,0.7832,0.5932
21,0.5058,0.6413,0.5725
22,0.0321,0.4872,0.2238
23,0.3380,0.4095,0.3754
24,0.2919,0.5962,0.4310
25,0.6029,0.8892,0.7358
26,0.0113,0.4918,0.2110
27,0.4941,0.6584,0.5739
28,0.5362,0.6610,0.5979
29,0.8076,0.6528,0.7280
30,0.8795,0.7996,0.8393
31,0.5480,0.0581,0.2624
32,0.1553,0.3251,0.2378
33,0.7700,0.8123,0.7917
34,0.4123,0.7921,0.5823
35,0.7056,0.4966,0.5962
36,0.3801,0.2485,0.3139
37,0.5898,0.4802,0.5350
38,0.0687,0.5304,0.2635
39,0.1468,0.4536,0.2859
40,0.3149,0.5336,0.4185
41,0.2571,0.3178,0.2896
42,0.5517,0.7072,0.6274
43,0.1646,-0.0973,0.0221
44,0.3114,0.5378,0.4184
45,0.2463,0.3938,0.3189
46,0.4241,0.6467,0.5295
47,0.8185,0.6167,0.7131
48,0.6837,0.1622,0.3800
49,0.4415,0.5817,0.5104
50,0.7488,0.7324,0.7416
51,-0.0930,0.2202,0.0458
52,0.5457,0.3332,0.4343
53,0.2704,0.7028,0.4587
54,0.2537,0.4679,0.3554
55,0.0745,0.3270,0.1914
56,0.3213,0.7737,0.5178
57,0.4172,0.6500,0.5270
58,0.8231,0.8299,0.8272
59,0.6646,0.3713,0.5065
60,0.5826,0.2950,0.4274
61,0.1521,0.6586,0.3644
62,0.7694,0.4728,0.6097
63,0.4656,0.2060,0.3265
64,0.5607,0.6212,0.5920
65,0.4248,0.7513,0.5736
66,0.6313,0.3895,0.5032
67,0.3092,0.3309,0.3227
68,0.8049,0.6344,0.7167
69,0.5197,0.7288,0.6193
70,0.1927,0.0142,0.1003
71,0.2596,0.1993,0.2319
72,0.0757,0.2020,0.1390
73,0.6533,0.8373,0.7417
74,0.2364,0.5432,0.3762
75,0.2709,0.4497,0.3573
76,0.1131,0.2877,0.1976
77,0.7919,0.4205,0.5874
78,0.4341,0.5915,0.5108
79,0.0947,0.1879,0.1430
80,0.5422,0.5720,0.5587
81,0.8376,0.8421,0.8405
82,0.1734,0.4362,0.2950
83,0.4362,0.4156,0.4281
84,0.3066,0.6190,0.4491
85,0.3803,0.5052,0.4424
86,0.3856,0.6449,0.5066
87,0.5495,0.5150,0.5339
88,0.5035,-0.2204,0.0374
89,0.5841,0.6423,0.6143
90,0.6007,0.4614,0.5299
91,0.4619,0.5693,0.5157
92,0.7190,0.7877,0.7536
93,0.3313,0.5882,0.4511
94,0.0842,0.1225,0.1066
95,0.6328,0.3251,0.4659
96,0.2150,0.2810,0.2502
97,0.7825,0.7835,0.7839
98,0.3232,0.5885,0.4465
99,0.2081,-0.1436,0.0082
100,0.5132,0.7329,0.6174
101,0.8881,0.4365,0.6344
102,0.4708,0.2540,0.3568
103,0.6560,0.3870,0.5121
104,0.4743,0.3082,0.3890
105,0.2430,0.7129,0.4445
106,0.2619,0.5000,0.3737
107,0.6666,0.4838,0.5719
108,0.4322,0.7758,0.5880
109,0.5303,0.5306,0.5323
110,0.2493,0.2416,0.2485
111,0.4023,0.0856,0.2280
112,0.6781,0.4131,0.5366
113,0.8867,0.9465,0.9165
114,0.3228,0.2222,0.2736
115,0.5092,0.4084,0.4593
116,0.3906,0.4453,0.4198
117,0.0715,0.4438,0.2346
118,0.6251,0.6237,0.6259
119,0.6508,0.7877,0.7178
120,0.5496,0.4124,0.4801
121,0.4072,0.6719,0.5306
122,0.2552,0.5773,0.4012
123,0.5202,0.4258,0.4737
124,-0.0463,-0.0335,-0.0358
125,0.4401,0.0956,0.2488
126,0.8655,0.8153,0.8407
127,0.5045,0.7560,0.6225
128,0.1973,0.3080,0.2533
129,-0.0133,0.5073,0.1988
130,0.3157,0.5475,0.4250
131,0.4570,0.3455,0.4015
132,0.7461,0.7523,0.7502
133,0.5035,0.8467,0.6596
134,0.0929,0.1682,0.1328
135,0.5455,0.6553,0.6002
136,0.2461,0.2686,0.2602
137,0.7143,0.7840,0.7495
138,0.4193,0.4962,0.4589
139,0.6880,0.8635,0.7725
140,0.5154,-0.0239,0.1938
141,0.4489,0.8102,0.6119
142,0.5651,0.4466,0.5056
143,0.2177,0.4452,0.3249
144,0.5703,0.4930,0.5326
145,0.2722,0.2633,0.2707
146,0.4638,0.4972,0.4824
147,0.4352,0.2252,0.3251
148,0.4992,0.6011,0.5504
149,0.2054,0.2277,0.2196
150,0.1428,0.1134,0.1314
151,0.4682,0.6118,0.5386
152,0.5074,-0.4206,-0.1452
153,0.6153,0.5678,0.5929
154,0.4919,0.0457,0.2348
155,0.2827,0.3760,0.3305
156,0.2108,0.3729,0.2899
157,0.9301,0.9625,0.9464
158,0.4981,0.6143,0.5559
159,0.5804,0.4635,0.5218
160,0.3160,0.6261,0.4576
161,0.5109,0.5841,0.5485
162,0.3002,0.5391,0.4124
163,0.6710,0.3271,0.4823
164,0.1984,0.3842,0.2878
165,0.6130,0.7798,0.6937
166,0.3991,0.4552,0.4289
167,0.5052,0.7813,0.6336
168,0.0868,0.3998,0.2278
169,0.4843,0.5518,0.5192
170,0.4487,0.4386,0.4458
171,0.8116,0.5792,0.6890
172,0.5377,0.5866,0.5635
173,0.5005,0.3504,0.4240
174,0.5490,0.2744,0.4015
175,0.2984,0.7394,0.4903
176,0.5911,0.7780,0.6808
177,0.5931,0.3312,0.4532
178,0.5554,0.5307,0.5448
179,0.8863,0.7799,0.8323
180,0.6566,0.7092,0.6838
181,0.0638,0.3256,0.1844
182,0.5791,0.5845,0.5835
183,0.9219,0.5112,0.6942
184,0.4153,0.6945,0.5447
185,0.3985,0.3684,0.3858
186,0.3799,0.5853,0.4779
187,0.2335,0.6516,0.4160
188,0.8496,0.6951,0.7701
189,0.5308,0.7550,0.6370
190,0.6267,0.7866,0.7042
191,0.4829,0.3933,0.4390
192,0.4266,0.6271,0.5224
