sample_idx,bs_precision,bs_recall,bs_f1
0,0.8377,0.6757,0.7541
1,1.0000,1.0000,1.0000
2,1.0000,1.0000,1.0000
3,0.5559,0.8164,0.6778
4,0.6587,0.7039,0.6823
5,1.0000,1.0000,1.0000
6,0.8545,0.6351,0.7392
7,0.7912,0.9388,0.8627
8,0.7326,0.3788,0.5384
9,1.0000,1.0000,1.0000
10,0.6279,0.6311,0.6310
11,1.0000,1.0000,1.0000
12,1.0000,1.0000,1.0000
13,0.9820,0.9568,0.9694
14,0.9187,0.7438,0.8279
15,0.7515,0.6645,0.7081
16,0.5130,0.3595,0.4346
17,0.9414,0.8693,0.9051
18,1.0000,1.0000,1.0000
19,0.5721,0.4588,0.5154
20,0.8580,0.6281,0.7368
21,0.8843,0.9784,0.9305
22,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000
24,1.0000,1.0000,1.0000
25,0.7864,0.8971,0.8408
26,0.3884,0.9034,0.6088
27,0.8004,0.9618,0.8782
28,0.8410,0.8108,0.8265
29,0.9736,0.8754,0.9236
30,0.4015,0.8931,0.6137
31,0.8022,0.5521,0.6696
32,0.8428,0.8714,0.8575
33,0.8157,0.8270,0.8221
34,1.0000,1.0000,1.0000
35,0.5748,0.4516,0.5128
36,1.0000,1.0000,1.0000
37,0.4087,0.5081,0.4590
38,0.7506,0.7074,0.7298
39,0.6151,0.5212,0.5686
40,0.6246,0.9449,0.7718
41,0.8979,0.8530,0.8757
42,1.0000,1.0000,1.0000
43,1.0000,1.0000,1.0000
44,0.8892,0.9102,0.9000
45,0.8665,0.9152,0.8910
46,0.6388,0.1659,0.3669
47,1.0000,1.0000,1.0000
48,0.8632,0.8957,0.8798
49,0.9645,0.9022,0.9332
50,1.0000,1.0000,1.0000
51,1.0000,1.0000,1.0000
52,0.7835,0.4670,0.6121
53,0.8654,0.9654,0.9145
54,0.9061,0.9560,0.9311
55,0.7849,0.7668,0.7767
56,0.9739,0.9443,0.9592
57,0.6494,0.8472,0.7439
58,0.4799,0.0398,0.2266
59,0.9363,0.8615,0.8986
60,0.8821,0.9762,0.9283
61,0.9500,0.8514,0.8999
62,1.0000,1.0000,1.0000
63,0.7281,0.7404,0.7353
64,0.4125,0.8393,0.6006
65,0.9622,0.9045,0.9332
66,0.5932,0.7841,0.6847
67,1.0000,1.0000,1.0000
68,1.0000,1.0000,1.0000
69,0.8709,0.7033,0.7842
70,0.7988,0.7922,0.7963
71,0.5571,0.3752,0.4630
72,0.5034,0.8893,0.6766
73,0.1956,0.6415,0.3876
74,0.6045,0.6700,0.6381
75,1.0000,1.0000,1.0000
76,0.4568,0.7301,0.5839
77,0.9667,0.9667,0.9669
78,0.8852,0.4804,0.6608
79,0.7495,0.8410,0.7950
80,0.5214,0.5747,0.5494
81,0.7872,0.5821,0.6800
82,0.8378,0.9415,0.8888
83,0.8281,0.7795,0.8043
84,1.0000,1.0000,1.0000
