sample_idx,bs_precision,bs_recall,bs_f1
0,0.0877,0.5178,0.2720
1,0.6145,0.8939,0.7445
2,0.7271,0.7383,0.7338
3,0.4121,0.5494,0.4798
4,0.6028,0.5364,0.5707
5,1.0000,1.0000,1.0000
6,0.5807,0.6266,0.6049
7,0.4673,0.6288,0.5458
8,0.4097,0.6890,0.5392
9,0.1704,0.5746,0.3468
10,0.4753,0.5510,0.5142
11,0.5265,0.8171,0.6611
12,0.7130,0.9423,0.8215
13,0.7843,0.9485,0.8635
14,0.4513,0.6519,0.5472
15,0.4688,0.7071,0.5810
16,0.5514,0.5695,0.5622
17,0.4058,0.5934,0.4960
18,0.9398,0.9735,0.9567
19,0.4499,0.4118,0.4329
20,0.7237,0.8639,0.7920
21,0.4571,0.7599,0.5964
22,0.8776,0.8854,0.8820
23,0.0645,0.5850,0.2791
24,0.5512,0.7961,0.6664
25,0.4110,0.5527,0.4807
26,0.3834,0.8806,0.5973
27,0.3802,0.7138,0.5316
28,0.4252,0.5641,0.4936
29,0.5411,0.6796,0.6091
30,0.0372,0.6211,0.2711
31,0.7510,0.6140,0.6811
32,0.4464,0.7791,0.5979
33,0.4470,0.6886,0.5606
34,1.0000,1.0000,1.0000
35,0.6138,0.6230,0.6199
36,0.9671,0.9613,0.9643
37,0.4678,0.5461,0.5080
38,0.2591,0.5782,0.4039
39,0.3266,0.4747,0.3993
40,0.7161,0.9510,0.8270
41,0.0568,0.4214,0.2168
42,0.9494,0.9880,0.9687
43,0.7883,0.8249,0.8072
44,-0.0360,0.3745,0.1387
45,0.3884,0.7121,0.5359
46,0.5885,0.3492,0.4618
47,1.0000,1.0000,1.0000
48,0.6131,0.5911,0.6036
49,0.9645,0.9022,0.9332
50,0.4623,0.6429,0.5494
51,0.7343,0.9222,0.8242
52,0.3542,0.3932,0.3759
53,0.3300,0.6681,0.4829
54,0.7887,0.8766,0.8323
55,0.1263,0.5622,0.3134
56,0.2730,0.6888,0.4552
57,0.6356,0.8310,0.7291
58,0.4037,0.3666,0.3874
59,0.7612,0.7484,0.7558
60,0.6036,0.6953,0.6496
61,0.9834,0.9830,0.9833
62,0.7480,0.9393,0.8395
63,0.7449,0.7596,0.7532
64,0.0661,0.5856,0.2804
65,0.6582,0.6208,0.6407
66,0.3238,0.6243,0.4616
67,0.6368,0.7536,0.6945
68,0.1734,0.6655,0.3813
69,0.6384,0.6078,0.6245
70,0.5511,0.5295,0.5421
71,0.5697,0.7256,0.6455
72,0.1000,0.7388,0.3535
73,0.1905,0.6690,0.3940
74,0.7081,0.8997,0.7998
75,0.3033,0.3606,0.3341
76,0.4673,0.6976,0.5761
77,0.5407,0.8560,0.6856
78,0.4493,0.6243,0.5339
79,0.4718,0.6638,0.5639
80,0.1803,0.5162,0.3310
81,0.3790,0.7019,0.5262
82,0.5392,0.8347,0.6758
83,0.6602,0.7710,0.7150
84,1.0000,1.0000,1.0000
85,0.2002,0.5098,0.3408
86,0.7037,0.8960,0.7957
87,0.4124,0.9233,0.6317
88,0.3087,0.6931,0.4795
89,0.6967,0.6729,0.6860
90,0.1412,0.2329,0.1886
91,1.0000,1.0000,1.0000
92,0.4169,0.5866,0.4992
93,0.4920,0.8124,0.6387
94,0.4303,0.6823,0.5483
95,0.2872,0.6829,0.4620
96,0.4419,0.7013,0.5631
97,0.4417,0.8677,0.6299
98,0.5222,0.8952,0.6904
99,0.8607,0.9729,0.9155
100,0.5062,0.5880,0.5479
101,0.5119,0.7707,0.6330
102,0.2131,0.3519,0.2819
103,0.1236,0.4920,0.2860
104,0.5640,0.5874,0.5773
105,0.6483,0.9200,0.7751
106,0.2777,0.3820,0.3306
107,0.3554,0.7954,0.5478
108,0.4053,0.5917,0.4950
109,0.1801,0.4002,0.2841
110,0.1851,0.3764,0.2769
111,0.1572,0.2486,0.2044
112,0.1920,0.4379,0.3068
113,0.2582,0.7180,0.4563
114,0.7695,0.9121,0.8388
115,0.4658,0.7865,0.6125
116,0.5084,0.7409,0.6182
117,0.5547,0.7756,0.6595
118,0.6111,0.7061,0.6587
119,0.8403,0.8687,0.8550
120,0.9454,0.9642,0.9550
121,0.1660,0.4536,0.2976
122,0.9155,0.9744,0.9448
123,0.3632,0.3203,0.3441
124,0.8758,0.8653,0.8710
125,0.3425,0.7371,0.5175
126,0.3185,0.5723,0.4370
127,0.1104,0.3711,0.2308
128,0.5035,0.8273,0.6517
129,0.5614,0.7996,0.6737
130,0.3290,0.7603,0.5177
131,0.9626,0.8675,0.9143
132,0.8453,0.8143,0.8304
133,0.6045,0.7857,0.6917
134,0.7891,0.8191,0.8047
135,0.1435,0.5909,0.3350
136,0.3208,0.6229,0.4592
137,0.0345,0.5702,0.2530
138,0.4243,0.7603,0.5770
139,0.0619,0.2630,0.1576
140,0.1888,0.3828,0.2817
141,0.6126,0.8012,0.7031
142,0.6778,0.7381,0.7086
143,0.5701,0.6045,0.5887
144,0.3698,0.8080,0.5617
145,0.0329,0.5692,0.2515
146,0.6441,0.9306,0.7772
147,0.7824,0.9496,0.8629
148,0.7435,0.8173,0.7806
149,0.5221,0.6448,0.5828
150,0.4620,0.8297,0.6276
151,0.6839,0.9537,0.8099
152,1.0000,1.0000,1.0000
153,0.6578,0.6284,0.6444
154,0.8446,0.9264,0.8851
155,0.5451,0.5736,0.5610
156,0.3542,0.5001,0.4259
157,0.4430,0.7151,0.5696
158,0.1779,0.6688,0.3855
159,0.3908,0.5272,0.4581
160,0.9267,0.9462,0.9367
161,0.4529,0.6237,0.5356
162,0.8726,0.8194,0.8463
163,0.4024,0.6502,0.5186
164,0.5385,0.4943,0.5180
165,0.2482,0.5976,0.4048
166,0.2573,0.7977,0.4839
167,0.2002,0.6014,0.3759
168,0.5723,0.7055,0.6377
169,0.5653,0.7812,0.6679
170,0.7154,0.7016,0.7097
171,0.1229,0.4675,0.2764
172,0.1123,0.3571,0.2263
173,-0.0847,0.3876,0.1093
174,0.3486,0.7680,0.5332
175,0.1231,0.5123,0.2932
176,0.3192,0.6658,0.4754
177,0.9635,0.9924,0.9779
178,0.5570,0.7561,0.6522
179,0.1960,0.7482,0.4249
180,0.6028,0.7101,0.6562
181,0.3092,0.7631,0.5060
182,0.2929,0.6495,0.4527
183,1.0000,1.0000,1.0000
184,0.4484,0.7880,0.6027
185,0.6207,0.7586,0.6882
186,0.8459,0.9616,0.9025
187,0.6666,0.7703,0.7181
188,0.6571,0.6558,0.6579
189,0.6730,0.7491,0.7114
190,0.5528,0.6498,0.6015
191,0.3785,0.5149,0.4458
192,0.2072,0.3287,0.2681
193,1.0000,1.0000,1.0000
194,0.6014,0.8248,0.7073
195,0.3905,0.5779,0.4806
196,0.9578,0.9466,0.9524
197,-0.2540,0.5378,0.0165
198,0.1879,0.4113,0.2933
199,0.5914,0.9267,0.7447
