sample_idx,bs_precision,bs_recall,bs_f1
0,0.3315,0.7720,0.5237
1,0.6441,0.3130,0.4631
2,0.6496,0.3981,0.5159
3,0.4673,0.2615,0.3596
4,0.7040,0.7709,0.7379
5,0.6408,0.6265,0.6351
6,0.5132,0.4553,0.4858
7,0.6228,0.5693,0.5972
8,0.3810,0.4962,0.4386
9,0.4924,0.5021,0.4993
10,0.3404,0.2741,0.3092
11,0.8511,0.8024,0.8271
12,0.5096,0.6079,0.5591
13,0.4282,0.3321,0.3810
14,0.3945,-0.0350,0.1464
15,0.3650,0.3012,0.3351
16,0.3668,0.3298,0.3507
17,0.5744,0.4217,0.4964
18,0.6218,0.6847,0.6540
19,0.4701,0.6766,0.5686
20,0.6200,0.5028,0.5611
21,0.4811,0.6011,0.5407
22,0.3558,0.4315,0.3951
23,0.7524,0.4956,0.6159
24,0.4845,0.5758,0.5307
25,0.4727,0.3428,0.4073
26,0.3193,0.1965,0.2581
27,0.5131,0.3509,0.4299
28,0.3636,0.5401,0.4490
29,0.8953,0.7662,0.8292
30,0.4914,0.4970,0.4962
31,0.4376,0.2783,0.3561
32,0.7410,0.4399,0.5785
33,0.5484,0.4816,0.5163
34,0.6020,0.5908,0.5980
35,0.4640,0.3790,0.4226
36,0.5823,0.3896,0.4821
37,0.4549,0.4471,0.4532
38,0.6458,0.5871,0.6175
39,0.4437,0.3686,0.4076
40,0.3374,0.4445,0.3914
41,0.2232,0.1598,0.1940
42,0.2611,0.1390,0.2003
43,0.2741,0.4049,0.3391
44,0.6896,0.4914,0.5862
45,0.5675,0.5458,0.5584
46,0.3507,0.4025,0.3786
47,0.4880,0.3153,0.3990
48,0.4414,0.3111,0.3758
49,0.5628,0.4737,0.5189
50,0.5400,0.2899,0.4068
51,0.4164,0.4633,0.4417
52,0.5642,0.4345,0.4987
53,0.7195,0.4118,0.5530
54,0.2981,0.1597,0.2284
55,0.7937,0.1851,0.4324
56,0.6803,0.5328,0.6049
57,0.6525,0.6400,0.6476
58,0.7183,0.7337,0.7271
59,0.5039,0.6176,0.5605
60,0.5415,0.4480,0.4954
61,0.7381,0.6166,0.6766
62,0.4952,0.3930,0.4447
63,0.5437,0.6490,0.5963
64,0.3187,0.3269,0.3255
65,0.3750,0.4026,0.3911
66,0.4029,0.3681,0.3878
67,0.2549,0.5049,0.3716
68,0.4945,0.6589,0.5743
69,0.5542,0.4832,0.5198
70,0.4483,0.4318,0.4422
71,0.5152,0.4604,0.4894
72,0.4753,0.4596,0.4695
