sample_idx,bs_precision,bs_recall,bs_f1
0,0.7921,0.1700,0.4211
1,0.4450,-0.1244,0.0981
2,0.6113,-0.0662,0.1904
3,0.2772,0.1593,0.2187
4,0.4927,-0.1154,0.1188
5,0.6347,0.3543,0.4840
6,0.4691,0.2289,0.3415
7,0.5604,0.0294,0.2463
8,0.2391,0.2888,0.2665
9,0.5289,0.3008,0.4085
10,0.5907,-0.0648,0.1858
11,0.6090,0.2552,0.4137
12,0.6860,0.3796,0.5201
13,0.4609,0.0748,0.2431
14,0.6240,-0.2067,0.0776
15,0.4382,-0.1750,0.0573
16,0.1318,0.1106,0.1247
17,0.2800,-0.0814,0.0752
18,0.7400,-0.0471,0.2403
19,0.5899,0.1693,0.3517
20,0.4850,-0.0553,0.1615
21,0.5341,-0.0661,0.1684
22,0.5307,-0.0952,0.1453
23,0.6183,0.0652,0.2905
24,0.4132,0.1688,0.2829
25,0.3421,-0.1794,0.0263
26,0.3325,-0.0399,0.1214
27,0.5767,0.1851,0.3571
28,0.4891,0.0307,0.2236
29,0.4416,0.3502,0.3969
30,0.4528,-0.0445,0.1591
31,0.4486,0.0630,0.2309
32,0.4931,0.0465,0.2357
33,0.4917,0.4765,0.4861
34,0.7179,0.0705,0.3254
35,0.4077,0.4816,0.4460
36,0.3352,-0.0340,0.1262
37,0.4089,-0.0338,0.1521
38,0.4113,0.1607,0.2774
39,0.3252,0.2233,0.2752
40,0.4741,-0.2429,0.0113
41,0.4880,0.0721,0.2511
42,0.7625,0.1276,0.3811
43,0.4870,0.1353,0.2916
44,0.6020,0.0617,0.2828
45,0.7771,0.0245,0.3075
46,0.4481,0.0804,0.2420
47,0.3430,0.0119,0.1589
48,0.3023,0.0046,0.1388
49,0.6186,0.1005,0.3154
50,0.5416,-0.0264,0.2001
51,0.4527,-0.0679,0.1422
52,0.5714,-0.0348,0.2030
53,0.7139,0.1434,0.3770
54,0.3024,-0.0996,0.0707
55,0.7937,0.1851,0.4324
56,0.6189,-0.0930,0.1714
57,0.4934,-0.1027,0.1288
58,0.6974,0.6480,0.6737
59,0.1702,-0.0076,0.0782
60,0.2670,-0.1227,0.0429
61,0.5726,-0.0833,0.1663
62,0.2951,-0.0704,0.0878
63,0.3988,0.0633,0.2127
64,0.4313,-0.0744,0.1308
