sample_idx,bs_precision,bs_recall,bs_f1
0,0.3237,0.8477,0.5460
1,0.8330,0.8198,0.8271
2,0.2366,0.3567,0.2968
3,0.1296,0.5709,0.3187
4,0.1886,0.0123,0.0975
5,0.9059,0.2263,0.4976
6,0.0520,0.0242,0.0418
7,0.4346,0.7137,0.5640
8,0.2443,-0.0645,0.0731
9,1.0000,1.0000,1.0000
10,0.1494,0.3338,0.2382
11,0.4354,0.7374,0.5743
12,0.4174,-0.0033,0.1758
13,0.3168,0.8015,0.5250
14,0.4141,0.3228,0.3696
15,0.2017,0.6858,0.4074
16,0.7791,0.8295,0.8047
17,0.1550,0.3489,0.2478
18,0.2457,0.1764,0.2133
19,0.4970,0.5549,0.5273
20,0.8952,0.6634,0.7730
21,0.6576,0.6817,0.6709
22,0.0596,0.5607,0.2675
23,0.1808,0.5919,0.3599
24,0.8857,0.7434,0.8126
25,0.9135,0.9465,0.9302
26,0.2474,0.3535,0.3012
27,0.3481,0.0763,0.2011
28,0.1970,0.1322,0.1671
29,0.9360,0.8874,0.9118
30,0.9068,0.7593,0.8309
31,0.3476,0.3962,0.3740
32,-0.1023,0.2305,0.0435
33,0.8773,0.8414,0.8598
34,0.2189,0.7097,0.4273
35,0.7651,0.5993,0.6796
36,0.1162,-0.0382,0.0376
37,0.2567,0.5930,0.4083
38,0.1208,0.5838,0.3173
39,0.4881,0.4879,0.4901
40,0.3099,0.1379,0.2214
41,0.3934,0.1919,0.2881
42,0.7261,0.8406,0.7824
43,0.4296,-0.2350,0.0069
44,0.0586,0.3458,0.1892
45,0.4835,0.4589,0.4732
46,0.1734,0.6885,0.3892
47,0.4507,0.8886,0.6435
48,0.2015,0.3953,0.2944
49,0.3615,0.8506,0.5721
50,0.7802,0.8946,0.8363
51,-0.1040,0.1406,0.0085
52,0.6846,0.3521,0.5030
53,0.1194,0.6305,0.3324
54,0.3301,0.6345,0.4695
55,0.1196,0.3835,0.2414
56,0.8158,0.8086,0.8130
57,0.1988,0.6400,0.3891
58,0.6524,0.5888,0.6215
59,0.6857,0.2057,0.4101
60,0.7639,0.3766,0.5493
61,0.8606,0.6006,0.7223
62,0.7789,0.4788,0.6172
63,0.4593,0.2998,0.3777
64,0.6343,0.6303,0.6337
65,0.8441,0.8656,0.8554
66,0.7401,0.4111,0.5610
67,0.2786,0.2311,0.2574
68,0.0722,0.3516,0.1999
69,0.3562,0.6621,0.4963
70,0.4061,-0.0568,0.1352
71,0.1250,0.1370,0.1345
72,0.1434,0.4365,0.2770
73,1.0000,1.0000,1.0000
74,-0.0047,0.4799,0.1959
75,0.6204,0.5264,0.5738
76,0.3220,0.2339,0.2794
77,0.7339,0.4098,0.5576
78,0.1548,0.6860,0.3755
79,0.0073,0.1986,0.0987
80,0.5867,0.5428,0.5662
81,0.5671,0.9511,0.7399
82,0.0392,0.3024,0.1602
83,0.5107,0.4337,0.4734
84,0.5794,0.7477,0.6608
85,0.4419,0.5113,0.4779
