sample_idx,bs_precision,bs_recall,bs_f1
0,0.7902,0.3255,0.5267
1,0.6327,0.6730,0.6540
2,0.2682,0.1426,0.2055
3,0.2022,0.3991,0.2964
4,0.2911,-0.2256,-0.0235
5,0.5929,-0.1590,0.1108
6,0.0631,0.2484,0.1522
7,0.5347,0.6082,0.5724
8,0.3941,-0.3061,-0.0616
9,1.0000,1.0000,1.0000
10,-0.0265,0.2277,0.0904
11,0.4385,0.4681,0.4554
12,0.3750,0.2529,0.3140
13,0.6815,0.4639,0.5673
14,0.6207,-0.0237,0.2258
15,0.8480,0.3845,0.5861
16,0.3799,0.7013,0.5265
17,0.2105,0.3088,0.2608
18,0.2279,0.4757,0.3436
19,0.2092,0.2840,0.2486
20,0.4114,0.6414,0.5200
21,0.3882,0.5292,0.4576
22,-0.0018,0.4833,0.1990
23,0.2555,0.2604,0.2609
24,0.3495,0.5933,0.4639
25,0.1118,0.5704,0.3066
26,0.2725,0.6030,0.4219
27,0.4142,0.1489,0.2715
28,0.1895,0.0287,0.1072
29,0.8308,0.0644,0.3536
30,0.9068,0.7593,0.8309
31,0.5949,0.0486,0.2711
32,0.0707,0.2486,0.1566
33,0.8579,0.8357,0.8474
34,0.8850,0.7009,0.7893
35,0.8071,0.6223,0.7111
36,0.3936,0.2865,0.3407
37,0.4067,0.4871,0.4481
38,0.1190,0.5497,0.3041
39,0.1352,0.3697,0.2451
40,0.3699,0.4424,0.4076
41,0.4450,0.2913,0.3666
42,0.6047,0.6922,0.6488
43,0.2844,0.2953,0.2927
44,0.2861,0.5565,0.4114
45,0.3048,0.3435,0.3266
46,0.4798,0.6490,0.5618
47,0.6030,0.0236,0.2557
48,0.7362,0.0347,0.3038
49,0.6513,0.4986,0.5732
50,0.7052,0.6858,0.6967
51,-0.1332,0.2449,0.0280
52,0.7007,0.3707,0.5207
53,0.7372,0.4132,0.5610
54,0.6444,0.4897,0.5651
55,-0.0396,0.3674,0.1338
56,1.0000,1.0000,1.0000
