sample_idx,bs_precision,bs_recall,bs_f1
0,0.9254,0.8961,0.9110
1,1.0000,1.0000,1.0000
2,0.9484,0.9100,0.9293
3,0.9628,0.9628,0.9629
4,0.6117,0.4941,0.5526
5,1.0000,1.0000,1.0000
6,0.8024,0.6716,0.7357
7,0.7912,0.9388,0.8627
8,0.7326,0.3788,0.5384
9,0.2216,0.6368,0.4028
10,0.5986,0.5965,0.5992
11,1.0000,1.0000,1.0000
12,1.0000,1.0000,1.0000
13,0.9522,0.8519,0.9012
14,0.8242,0.9510,0.8860
15,0.5826,0.4578,0.5197
16,0.3393,0.1501,0.2410
17,0.9414,0.8693,0.9051
18,1.0000,1.0000,1.0000
19,0.4012,0.4009,0.4034
20,0.5633,0.6948,0.6280
21,0.7993,0.8839,0.8413
22,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000
24,1.0000,1.0000,1.0000
25,0.9543,0.9483,0.9515
26,1.0000,1.0000,1.0000
27,0.2904,0.5902,0.4277
28,0.7012,0.7166,0.7101
29,0.6286,0.8221,0.7212
30,0.4015,0.8931,0.6137
31,0.7754,0.5827,0.6751
32,0.8039,0.9791,0.8880
33,0.4192,0.4951,0.4583
34,1.0000,1.0000,1.0000
35,0.5868,0.5279,0.5586
36,1.0000,1.0000,1.0000
37,0.4194,0.4233,0.4237
38,0.8039,0.7706,0.7880
39,0.6320,0.4820,0.5554
40,0.6115,0.9367,0.7607
41,0.7420,0.8258,0.7838
42,1.0000,1.0000,1.0000
43,1.0000,1.0000,1.0000
44,0.8651,0.5649,0.7036
45,0.8630,0.9074,0.8854
46,0.8377,0.7743,0.8063
47,1.0000,1.0000,1.0000
48,0.7177,0.3934,0.5413
49,0.9645,0.9022,0.9332
50,1.0000,1.0000,1.0000
51,1.0000,1.0000,1.0000
52,0.8063,0.5550,0.6730
53,0.8654,0.9654,0.9145
54,0.9061,0.9560,0.9311
55,1.0000,1.0000,1.0000
56,0.9739,0.9443,0.9592
57,0.6494,0.8472,0.7439
58,0.7627,0.5728,0.6639
59,0.4593,0.7987,0.6136
60,0.8620,0.9682,0.9140
61,0.9176,0.6836,0.7941
62,1.0000,1.0000,1.0000
63,0.9359,0.9493,0.9428
64,0.4226,0.8410,0.6076
65,0.9565,0.9015,0.9289
66,0.7020,0.6304,0.6668
67,1.0000,1.0000,1.0000
68,1.0000,1.0000,1.0000
69,0.7826,0.7331,0.7585
70,0.7913,0.4802,0.6231
71,0.5093,0.2912,0.3946
72,0.5034,0.8893,0.6766
73,0.6847,0.6750,0.6811
74,0.6045,0.6700,0.6381
