sample_idx,bs_precision,bs_recall,bs_f1
0,0.2141,0.6504,0.4029
1,1.0000,1.0000,1.0000
2,0.8940,0.8377,0.8660
3,0.2332,0.6316,0.4084
4,0.7256,0.5189,0.6175
5,1.0000,1.0000,1.0000
6,-0.1968,0.1894,-0.0345
7,1.0000,1.0000,1.0000
8,0.2885,0.4071,0.3479
9,0.2050,0.6463,0.3955
10,0.5547,0.5638,0.5610
11,0.4057,0.8359,0.5950
12,0.6041,0.8426,0.7166
13,0.9457,0.8428,0.8934
14,0.7625,0.8870,0.8234
15,0.0520,0.4336,0.2182
16,-0.0243,0.4044,0.1570
17,0.8868,0.8530,0.8703
18,1.0000,1.0000,1.0000
19,0.1851,0.5400,0.3432
20,0.9275,0.8961,0.9121
21,0.5796,0.6326,0.6073
22,0.7873,0.8579,0.8226
23,0.0612,0.5836,0.2763
24,0.8622,0.9455,0.9034
25,0.5969,0.4748,0.5354
26,0.6818,0.8674,0.7708
27,0.2117,0.6539,0.4026
28,0.3324,0.5646,0.4418
29,0.6947,0.7217,0.7093
30,0.2664,0.7384,0.4691
31,0.6676,0.4850,0.5730
32,0.7493,0.9589,0.8490
33,0.3266,0.5193,0.4191
34,1.0000,1.0000,1.0000
35,0.5681,0.0847,0.2875
36,0.7859,0.9068,0.8451
37,0.1688,0.4680,0.3050
38,0.7608,0.7670,0.7648
39,0.1223,0.3160,0.2150
40,0.6254,0.9302,0.7661
41,0.1349,0.4857,0.2908
42,0.9394,0.9657,0.9527
43,0.3732,0.7288,0.5334
44,-0.1315,0.3132,0.0520
45,0.4101,0.7504,0.5644
46,0.6560,0.6458,0.6523
47,1.0000,1.0000,1.0000
48,0.3715,0.2492,0.3104
49,0.9645,0.9022,0.9332
50,0.6194,0.8528,0.7296
51,1.0000,1.0000,1.0000
52,0.6651,0.4402,0.5467
53,0.5262,0.7782,0.6444
54,0.8835,0.9310,0.9073
55,0.0823,0.6190,0.3027
56,0.5451,0.7780,0.6551
57,0.3584,0.6452,0.4907
58,-0.0060,-0.0099,-0.0039
59,-0.0401,0.4394,0.1577
60,0.5741,0.8526,0.7036
61,0.9452,0.9628,0.9542
62,0.8945,0.9033,0.8993
63,0.7976,0.6803,0.7381
64,-0.0587,0.6137,0.1968
65,0.2853,0.5154,0.3938
66,0.3116,0.6733,0.4736
67,1.0000,1.0000,1.0000
68,-0.0118,0.5804,0.2226
69,0.7369,0.6873,0.7129
70,0.1678,0.4529,0.2984
71,0.5093,0.2928,0.3956
72,0.3515,0.6437,0.4860
73,-0.1296,0.0973,-0.0243
74,0.6096,0.7065,0.6580
75,0.1104,0.3036,0.2029
76,0.1618,0.5938,0.3481
77,0.5400,0.8105,0.6661
78,0.8852,0.4804,0.6608
79,0.2814,0.6073,0.4291
80,0.1855,0.5029,0.3290
81,0.2253,0.3908,0.3058
82,0.4760,0.7230,0.5920
83,0.8248,0.7779,0.8018
84,-0.1433,-0.0936,-0.1147
85,0.2064,0.5600,0.3642
86,0.2025,0.6150,0.3825
87,0.6197,0.8925,0.7469
88,0.9583,0.9740,0.9663
89,0.4804,0.6992,0.5842
90,0.0856,0.1618,0.1260
91,1.0000,1.0000,1.0000
