sample_idx,bs_precision,bs_recall,bs_f1
0,0.6200,0.1604,0.3567
1,0.3847,0.0523,0.2004
2,0.7316,0.0896,0.3438
3,0.4519,0.2708,0.3582
4,0.7099,0.7543,0.7329
5,0.6428,0.6198,0.6327
6,0.4667,0.2872,0.3739
7,0.5457,0.5030,0.5260
8,0.6620,0.5975,0.6306
9,0.4601,0.4358,0.4501
10,0.7368,-0.0032,0.2746
11,0.5524,0.6026,0.5788
12,0.3863,0.4680,0.4283
13,0.4871,0.3423,0.4135
14,0.4723,0.0338,0.2199
15,0.3014,0.3030,0.3050
16,0.3412,0.2647,0.3047
17,0.4969,0.4153,0.4572
18,0.5996,0.6734,0.6372
19,0.4044,0.5393,0.4710
20,0.6827,0.5195,0.5987
21,0.6168,0.4146,0.5113
22,0.3411,0.3697,0.3578
23,0.7117,0.5137,0.6085
24,0.4284,0.3833,0.4079
25,0.6260,0.3922,0.5025
26,0.2969,0.2590,0.2806
27,0.5768,0.1642,0.3436
28,0.3430,0.5173,0.4274
29,0.6785,0.5671,0.6225
30,0.5323,0.3793,0.4542
31,0.3854,0.2011,0.2900
32,0.6381,0.5890,0.6147
33,0.6063,0.5657,0.5874
34,0.4714,0.4314,0.4533
35,0.6354,0.5983,0.6182
36,0.4846,0.3735,0.4293
37,0.4865,0.4894,0.4900
38,0.6171,0.5250,0.5715
39,0.4489,0.3044,0.3756
40,0.3064,0.3089,0.3105
41,0.3549,0.2987,0.3289
42,0.2107,0.1602,0.1882
43,0.3615,0.3964,0.3812
44,0.6928,0.4847,0.5839
45,0.4743,0.4576,0.4681
46,0.4792,0.3331,0.4050
47,0.4582,0.4032,0.4325
48,0.2912,0.4852,0.3843
49,0.5838,0.5067,0.5462
50,0.5135,0.5923,0.5538
51,0.3891,0.4253,0.4093
52,0.5376,0.3622,0.4471
53,0.7556,0.4164,0.5704
54,0.3249,0.3440,0.3371
55,0.8093,0.2033,0.4503
56,0.7176,0.5516,0.6321
57,0.5510,0.5111,0.5327
58,0.7606,0.8044,0.7831
59,0.4207,0.6372,0.5236
60,0.5640,0.5622,0.5649
61,0.7041,0.7906,0.7473
62,0.4279,0.4266,0.4296
63,0.5775,0.6531,0.6160
64,0.2912,0.3764,0.3352
65,0.4891,0.5244,0.5085
66,0.5763,0.4067,0.4890
67,0.2297,0.5547,0.3766
68,0.7977,0.8008,0.8001
69,0.4246,0.5557,0.4894
70,0.4798,0.4983,0.4911
71,0.4563,0.4819,0.4712
72,0.4044,0.5246,0.4643
73,0.4597,0.5447,0.5030
74,0.7707,0.7961,0.7842
75,0.3608,0.4205,0.3925
76,0.3919,0.3422,0.3691
77,0.5510,0.6171,0.5850
78,0.4483,0.5656,0.5068
79,0.4894,0.5467,0.5194
80,0.5659,0.4169,0.4899
81,0.2833,-0.0427,0.1017
82,0.3309,0.2905,0.3132
83,0.3860,0.3253,0.3576
84,0.5350,0.3832,0.4576
85,0.3112,0.1691,0.2394
86,0.3014,0.3712,0.3381
87,0.6778,-0.1384,0.1490
88,0.3433,0.2740,0.3106
89,0.5543,0.4478,0.5013
90,0.5024,0.3999,0.4517
91,0.5849,0.3318,0.4501
92,0.6836,0.6264,0.6559
93,0.3910,0.4664,0.4301
94,0.6405,0.4860,0.5614
95,0.5659,0.6135,0.5910
96,0.1734,0.1522,0.1661
97,0.4080,0.6740,0.5319
98,0.3887,0.4894,0.4396
99,0.7697,0.6119,0.6886
100,0.5440,0.6237,0.5845
101,0.6012,0.4597,0.5292
102,0.4599,0.4600,0.4621
103,0.3708,0.4367,0.4054
104,0.7564,0.7434,0.7509
105,0.2972,0.2527,0.2775
106,0.4788,0.4494,0.4661
107,0.5288,0.4452,0.4879
108,0.6160,0.5749,0.5968
109,0.4362,0.3777,0.4088
110,0.7496,0.7689,0.7602
111,0.4894,0.5053,0.4993
112,0.5287,0.4422,0.4863
113,0.4587,0.3522,0.4059
114,0.4505,0.5155,0.4844
115,0.4997,0.5432,0.5231
116,0.4288,0.4848,0.4585
117,0.3749,0.2569,0.3162
118,0.5520,0.6636,0.6075
119,0.0802,0.3248,0.1940
120,0.5920,0.6216,0.6082
121,0.5166,0.4516,0.4855
122,0.3830,0.3685,0.3782
123,0.3976,0.4160,0.4091
124,0.6963,0.6816,0.6902
125,0.4312,0.3339,0.3834
126,0.3991,0.3897,0.3968
127,0.5776,0.5212,0.5507
128,0.3024,0.4290,0.3654
129,0.4776,0.4476,0.4646
130,0.4616,0.3867,0.4255
131,0.6249,0.6712,0.6492
132,0.3954,0.5050,0.4504
133,0.5168,0.5685,0.5441
134,0.3419,0.2992,0.3230
135,0.2534,0.1857,0.2218
136,0.4403,0.5765,0.5074
137,0.5574,0.3748,0.4628
138,0.2267,0.1742,0.2031
139,0.6060,0.6246,0.6168
140,0.6740,0.4861,0.5764
141,0.4021,0.3640,0.3853
142,0.2697,0.4365,0.3508
143,0.5660,0.6033,0.5861
144,0.6561,0.5309,0.5928
145,0.4589,0.5135,0.4878
146,0.5001,0.4372,0.4701
147,0.1866,0.1453,0.1689
148,0.5161,0.6600,0.5866
149,0.7733,0.7589,0.7670
150,0.5594,0.6031,0.5826
151,0.5405,0.3486,0.4407
152,0.5874,0.6902,0.6387
153,0.4007,0.3160,0.3597
154,0.5608,0.4091,0.4834
155,0.3430,0.5733,0.4516
156,0.5091,0.3792,0.4436
157,0.7368,0.6496,0.6933
158,0.6466,0.4758,0.5585
159,0.6711,0.6798,0.6767
160,0.3736,0.3247,0.3513
161,0.5372,0.5075,0.5242
162,0.2318,0.3447,0.2888
163,0.5870,0.6135,0.6017
164,0.4520,0.1997,0.3172
165,0.4055,0.3203,0.3642
166,0.5019,0.5267,0.5162
167,0.6903,0.5577,0.6229
168,0.4263,0.2677,0.3452
169,0.6204,0.3687,0.4865
170,0.7596,0.3419,0.5258
171,0.0734,0.4774,0.2481
172,0.3114,0.1948,0.2536
173,0.7174,0.4545,0.5773
174,0.5122,0.3647,0.4372
175,0.6641,0.6731,0.6700
176,0.5652,0.4157,0.4889
177,0.5094,0.5228,0.5180
178,0.6617,0.6323,0.6483
179,0.3367,0.2963,0.3190
180,0.4376,0.4520,0.4470
181,0.6347,0.4192,0.5216
182,0.4811,0.4564,0.4708
183,0.5069,0.5720,0.5406
184,0.4638,0.1979,0.3210
185,0.4528,0.3764,0.4160
186,0.3401,0.4175,0.3802
187,0.5361,0.3463,0.4376
188,0.7819,0.7961,0.7898
189,0.7018,0.4665,0.5775
190,0.6128,0.6226,0.6192
191,0.4267,0.3789,0.4048
192,0.4363,0.4052,0.4229
193,0.7077,0.6056,0.6566
194,0.6212,0.3231,0.4599
195,0.2203,0.0943,0.1575
196,0.5371,0.7158,0.6232
197,0.3084,0.3657,0.3391
198,0.3594,0.3683,0.3664
199,0.4041,0.4283,0.4184
