sample_idx,bs_precision,bs_recall,bs_f1
0,0.6200,0.1604,0.3567
1,0.4222,-0.0167,0.1683
2,0.6738,-0.0543,0.2170
3,0.4238,0.2521,0.3354
4,0.6489,0.6228,0.6372
5,0.7072,0.6512,0.6800
6,0.4998,0.3508,0.4239
7,0.5792,0.4116,0.4930
8,0.2241,0.3030,0.2653
9,0.3874,0.3713,0.3818
10,0.6008,-0.0418,0.2063
11,0.5470,0.4651,0.5070
12,0.6252,0.4172,0.5164
13,0.5944,0.2168,0.3839
14,0.3775,0.0111,0.1711
15,0.1348,0.1779,0.1593
16,0.3196,0.2468,0.2851
17,0.4685,0.3623,0.4159
18,0.7400,-0.0471,0.2403
19,0.3376,0.2698,0.3057
20,0.5224,0.2300,0.3641
21,0.5339,-0.0768,0.1602
22,0.4926,0.1744,0.3183
23,0.6183,0.0652,0.2905
24,0.4677,0.3417,0.4044
25,0.5190,0.1947,0.3412
26,0.3546,-0.0680,0.1102
27,0.5997,0.1855,0.3659
28,0.4483,0.0820,0.2432
29,0.7442,0.4046,0.5587
30,0.4699,0.2113,0.3315
31,0.4890,0.1557,0.3053
32,0.6315,0.1508,0.3543
33,0.5017,0.5098,0.5077
34,0.6123,0.0682,0.2907
35,0.5838,0.5701,0.5786
36,0.3867,0.2257,0.3043
37,0.4716,0.4384,0.4570
38,0.5557,0.4283,0.4915
39,0.1802,0.2338,0.2097
40,0.6441,0.1251,0.3410
41,0.3468,0.1160,0.2243
42,0.7496,0.0961,0.3540
43,0.4439,0.3090,0.3759
44,0.8121,0.4866,0.6355
45,0.7771,0.0245,0.3075
46,0.5579,0.1047,0.2976
47,0.3933,0.2254,0.3070
48,0.5271,0.1678,0.3274
49,0.6186,0.1005,0.3154
50,0.6855,0.2734,0.4543
51,0.3032,0.0663,0.1769
52,0.6213,-0.0614,0.1970
53,0.8266,0.4056,0.5915
54,0.3606,-0.1353,0.0645
55,0.8093,0.2033,0.4503
56,0.5591,0.2771,0.4072
57,0.3790,0.0673,0.2076
58,0.8096,0.5815,0.6895
59,0.2383,0.1983,0.2211
60,0.5948,-0.1161,0.1464
61,0.7112,0.3460,0.5097
62,0.4906,0.3625,0.4262
63,0.4560,0.0550,0.2284
64,0.4737,-0.0900,0.1325
65,0.3185,0.2278,0.2745
66,0.2466,0.1343,0.1912
67,0.4125,0.4580,0.4371
68,0.6542,0.7210,0.6882
69,0.4438,0.4362,0.4422
70,0.3015,0.1780,0.2399
71,0.5285,0.3680,0.4463
72,0.4216,0.4938,0.4590
73,0.6346,0.5793,0.6081
74,0.6898,0.3699,0.5158
75,0.4312,0.4327,0.4342
76,0.2892,0.1944,0.2432
77,0.3866,-0.0453,0.1366
78,0.5966,0.3641,0.4738
79,0.8045,0.3624,0.5557
80,0.3645,0.1727,0.2647
81,0.2322,-0.2728,-0.0766
82,0.3505,0.1683,0.2562
83,0.5644,-0.0520,0.1880
84,0.5428,0.0779,0.2742
85,0.5236,-0.0840,0.1518
86,0.6513,0.2304,0.4139
87,0.4620,0.1669,0.3016
88,0.6062,-0.0293,0.2174
89,0.4096,0.2766,0.3427
90,0.4481,0.3537,0.4018
91,0.5122,0.2471,0.3701
92,0.5173,0.6673,0.5905
93,0.5265,0.4364,0.4823
94,0.5317,0.3163,0.4186
95,0.5825,0.2112,0.3759
96,0.1067,-0.0139,0.0470
97,0.6061,0.2824,0.4293
98,0.4840,0.1255,0.2843
99,0.6531,0.3559,0.4926
100,0.3078,-0.0567,0.1015
101,0.6101,-0.2319,0.0524
