sample_idx,bs_precision,bs_recall,bs_f1
0,0.3242,0.8000,0.5293
1,0.7742,0.6940,0.7343
2,0.2808,0.3656,0.3246
3,0.1259,0.4255,0.2619
4,0.2066,0.0163,0.1074
5,0.7876,0.2316,0.4629
6,0.1750,0.2266,0.2035
7,0.4622,0.5388,0.5016
8,0.3211,-0.0819,0.0892
9,0.8621,0.9700,0.9149
10,0.0811,0.2503,0.1632
11,0.4086,0.7430,0.5606
12,0.3242,0.3770,0.3527
13,0.3894,0.5918,0.4861
14,0.5270,0.0692,0.2629
15,0.2904,0.7527,0.4900
16,0.2829,0.6088,0.4306
17,0.2415,0.3698,0.3054
18,0.2530,0.6666,0.4341
19,0.1392,0.3490,0.2388
20,0.1164,0.6028,0.3209
21,0.5716,0.7312,0.6491
22,-0.0375,0.4067,0.1486
23,0.2407,0.5420,0.3783
24,0.5989,0.7025,0.6506
25,0.5884,0.8609,0.7154
26,-0.1747,-0.0381,-0.1068
27,0.4197,0.7371,0.5648
28,0.2073,0.3039,0.2568
29,0.8419,0.6666,0.7511
30,0.9068,0.7593,0.8309
31,0.6108,0.0916,0.3067
32,-0.0165,0.2367,0.1001
33,0.4554,0.7243,0.5806
34,0.3089,0.7742,0.5099
35,0.7701,0.6122,0.6889
36,0.4807,0.4915,0.4882
37,0.5277,0.4502,0.4900
38,0.1157,0.6256,0.3282
39,0.1074,0.3893,0.2363
40,0.2441,0.4927,0.3602
41,0.2842,0.3867,0.3363
42,0.7022,0.7451,0.7245
43,0.0238,-0.1822,-0.0855
44,0.1551,0.5831,0.3399
45,0.2593,0.4101,0.3333
46,0.3754,0.8023,0.5631
47,0.4203,0.5985,0.5064
48,0.6306,0.2787,0.4367
49,0.4344,0.5415,0.4882
50,0.7252,0.6949,0.7111
51,-0.2978,-0.1845,-0.2401
52,0.6846,0.3521,0.5030
53,0.2255,0.6755,0.4195
54,0.1662,0.6088,0.3564
55,0.0648,0.4083,0.2171
56,0.5080,0.6407,0.5734
57,0.3696,0.7285,0.5310
58,0.7044,0.6096,0.6571
59,0.3415,0.3563,0.3515
60,0.6505,0.5272,0.5882
61,0.6005,0.6501,0.6265
62,0.7040,0.5463,0.6230
63,0.4953,0.2964,0.3916
64,0.6072,0.6566,0.6330
65,0.1663,0.6209,0.3608
66,0.4178,0.4622,0.4419
67,0.3209,0.4137,0.3684
68,0.1836,0.3164,0.2497
69,0.4070,0.6729,0.5309
70,0.3915,-0.0822,0.1125
71,0.2305,0.3103,0.2721
72,0.0497,0.2684,0.1527
73,0.6881,0.8069,0.7466
74,0.1357,0.5897,0.3294
75,0.3669,0.5357,0.4488
76,-0.0168,0.2910,0.1210
77,0.7919,0.4205,0.5874
78,0.2190,0.6316,0.3992
79,-0.0305,0.1173,0.0424
80,0.5372,0.5578,0.5493
81,0.6531,0.8307,0.7386
82,0.0800,0.4093,0.2271
83,0.3570,0.4441,0.4017
84,0.1276,0.6035,0.3288
85,0.4082,0.5223,0.4653
86,0.3868,0.7252,0.5402
87,0.4792,0.5868,0.5330
88,0.6349,-0.0633,0.1992
89,0.6847,0.6459,0.6665
90,0.5713,0.4752,0.5237
91,0.4145,0.6274,0.5158
92,0.8247,0.8689,0.8472
93,0.1396,0.5052,0.3012
94,0.1664,0.2229,0.1973
95,0.3693,0.4883,0.4287
96,0.3192,0.3490,0.3366
97,0.7474,0.7521,0.7508
98,0.1783,0.5059,0.3258
99,0.2238,0.2791,0.2539
100,0.3637,0.7036,0.5175
101,0.8873,0.4425,0.6379
102,0.2707,0.2515,0.2640
103,0.5961,0.2807,0.4243
104,0.3917,0.2638,0.3276
105,0.0854,0.6041,0.3000
106,0.0344,0.4338,0.2067
107,0.3025,0.4642,0.3813
108,0.3315,0.7272,0.5068
109,0.5874,0.4589,0.5225
110,0.2477,0.2252,0.2394
111,0.4116,0.0870,0.2325
112,0.6592,0.5765,0.6184
113,0.7781,0.9152,0.8448
114,0.3272,0.3563,0.3443
115,0.5790,0.6149,0.5984
116,0.1754,0.3504,0.2601
117,0.0212,0.4356,0.1985
118,0.2933,0.6272,0.4442
119,0.9755,0.9936,0.9846
120,0.6063,0.5002,0.5533
121,0.3323,0.5853,0.4505
122,0.1002,0.4882,0.2695
123,0.6371,0.8223,0.7260
124,0.0116,0.1674,0.0879
125,0.5296,0.3612,0.4430
126,0.5515,0.7324,0.6386
127,0.4231,0.7155,0.5580
128,0.3190,0.5205,0.4153
129,-0.2037,0.4202,0.0295
130,0.1413,0.4629,0.2861
131,0.3836,0.3454,0.3668
132,0.6937,0.7275,0.7116
133,0.5719,0.8294,0.6925
134,-0.0334,0.1793,0.0668
135,0.5324,0.7179,0.6216
136,0.3078,0.3469,0.3297
137,0.7340,0.8024,0.7685
138,0.4049,0.5190,0.4620
139,0.3788,0.5765,0.4734
140,0.5080,0.1334,0.2983
141,0.1916,0.7238,0.4137
142,0.7065,0.2638,0.4559
143,-0.0260,0.4861,0.1828
144,0.4922,0.6840,0.5842
145,0.2555,0.2600,0.2608
146,0.3473,0.4460,0.3974
147,0.5656,0.3378,0.4454
148,0.8447,0.6433,0.7394
149,0.2213,0.5504,0.3697
150,0.2455,0.2984,0.2743
151,0.3967,0.5907,0.4897
152,0.6087,-0.4443,-0.1535
153,0.6803,0.6240,0.6531
154,0.6140,0.1609,0.3549
155,0.1633,0.3586,0.2568
156,0.2193,0.4636,0.3335
157,0.9626,0.9721,0.9675
158,0.5280,0.7147,0.6177
159,0.5020,0.5455,0.5254
160,0.1748,0.6037,0.3603
161,0.4258,0.5434,0.4844
162,0.2437,0.5376,0.3783
163,0.7709,0.4438,0.5931
164,0.2958,0.4245,0.3598
165,0.0572,0.4150,0.2147
166,0.4536,0.5924,0.5219
167,0.3503,0.5734,0.4559
168,0.0175,0.3977,0.1826
169,0.4791,0.5888,0.5339
170,0.3490,0.3940,0.3737
171,0.7226,0.7426,0.7336
172,0.2961,0.5819,0.4278
173,0.6966,0.4940,0.5908
174,0.6207,0.3264,0.4617
175,0.2030,0.5218,0.3472
176,0.5868,0.7790,0.6789
177,0.6167,0.3012,0.4450
178,0.4457,0.5517,0.4989
179,0.8863,0.7799,0.8323
180,0.5457,0.4520,0.4995
181,-0.0310,0.2840,0.1093
182,0.6802,0.6931,0.6879
183,0.5803,0.5866,0.5851
184,0.4807,0.7086,0.5885
185,0.4444,0.3685,0.4079
186,0.2689,0.5609,0.4029
187,0.4157,0.5579,0.4856
188,0.9469,0.9135,0.9303
189,0.5009,0.7335,0.6108
190,0.5778,0.6062,0.5935
191,0.5162,0.4668,0.4932
192,0.4203,0.5955,0.5050
193,0.3538,0.3338,0.3463
194,0.4969,0.6217,0.5587
195,-0.0563,0.4445,0.1478
196,0.2281,0.7285,0.4401
197,0.5556,0.4472,0.5016
198,0.5174,0.5711,0.5456
199,0.2899,0.5541,0.4126
