sample_idx,bs_precision,bs_recall,bs_f1
0,0.8835,0.7287,0.8037
1,1.0000,1.0000,1.0000
2,0.9939,0.9865,0.9902
3,0.5559,0.8164,0.6778
4,0.6117,0.4941,0.5526
5,1.0000,1.0000,1.0000
6,0.8321,0.8939,0.8631
7,0.7912,0.9388,0.8627
8,0.8254,0.4363,0.6102
9,0.3623,0.6841,0.5089
10,0.3551,0.5651,0.4551
11,1.0000,1.0000,1.0000
12,0.4828,0.8821,0.6610
13,0.9595,0.8568,0.9072
14,0.8242,0.9510,0.8860
15,0.7359,0.5408,0.6343
16,0.3434,0.4522,0.3982
17,0.9414,0.8693,0.9051
18,1.0000,1.0000,1.0000
19,0.5689,0.4570,0.5129
20,0.8202,0.9609,0.8884
21,0.7712,0.8701,0.8201
22,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000
24,1.0000,1.0000,1.0000
25,0.9021,0.8288,0.8653
26,0.3884,0.9034,0.6088
27,0.6835,0.8779,0.7765
28,0.6697,0.7104,0.6911
29,0.9743,0.9394,0.9569
30,0.4015,0.8931,0.6137
31,0.8638,0.6890,0.7732
32,1.0000,1.0000,1.0000
33,0.9256,0.8568,0.8911
34,1.0000,1.0000,1.0000
35,0.4798,0.5571,0.5194
36,1.0000,1.0000,1.0000
37,0.3356,0.3715,0.3559
38,0.6952,0.7036,0.7006
39,0.6440,0.7699,0.7059
40,0.6711,0.8821,0.7715
41,0.9195,0.8485,0.8839
42,1.0000,1.0000,1.0000
43,1.0000,1.0000,1.0000
44,0.7645,0.5484,0.6512
45,0.7609,0.8654,0.8124
46,0.6350,0.3836,0.5013
47,1.0000,1.0000,1.0000
48,0.7177,0.3934,0.5413
49,0.9645,0.9022,0.9332
50,1.0000,1.0000,1.0000
51,1.0000,1.0000,1.0000
52,0.8063,0.5550,0.6730
53,0.8654,0.9654,0.9145
54,0.8667,0.9592,0.9122
55,0.7136,0.7847,0.7494
56,0.9739,0.9443,0.9592
57,0.6407,0.8303,0.7316
58,0.7727,0.5828,0.6739
59,0.9062,0.9229,0.9149
60,0.7622,0.9215,0.8392
61,0.9176,0.6836,0.7941
62,1.0000,1.0000,1.0000
63,0.7314,0.7600,0.7466
64,0.4226,0.8410,0.6076
65,0.9565,0.8874,0.9217
66,0.6760,0.6030,0.6402
67,1.0000,1.0000,1.0000
68,1.0000,1.0000,1.0000
69,0.8709,0.7033,0.7842
70,0.8390,0.7553,0.7970
71,0.5516,0.4029,0.4758
72,0.5034,0.8893,0.6766
73,-0.0433,0.2384,0.0842
74,0.6045,0.6700,0.6381
75,1.0000,1.0000,1.0000
76,0.4568,0.7301,0.5839
77,1.0000,1.0000,1.0000
78,0.6379,0.4170,0.5218
79,0.7641,0.7580,0.7620
80,0.7454,0.6945,0.7207
81,0.7779,0.4795,0.6172
82,0.9568,0.9553,0.9562
83,1.0000,1.0000,1.0000
84,1.0000,1.0000,1.0000
85,0.5317,0.5693,0.5521
86,0.7396,0.9286,0.8301
87,1.0000,1.0000,1.0000
88,0.9421,0.9572,0.9498
89,0.7436,0.7852,0.7651
90,0.5934,0.3385,0.4576
91,1.0000,1.0000,1.0000
92,0.4069,0.5931,0.4965
93,0.6384,0.8514,0.7397
94,0.7041,0.7765,0.7406
95,0.9088,0.8979,0.9037
96,0.7512,0.8869,0.8173
97,1.0000,1.0000,1.0000
98,0.5603,0.9083,0.7186
99,1.0000,1.0000,1.0000
100,0.5390,0.6428,0.5909
101,0.6110,0.5376,0.5752
102,0.7149,0.4996,0.6020
103,0.1579,0.5417,0.3266
104,0.6050,0.5582,0.5830
105,1.0000,1.0000,1.0000
106,0.4598,0.4126,0.4381
107,0.7007,0.7981,0.7491
108,0.8835,0.7553,0.8180
109,0.4126,0.8456,0.6030
110,0.5953,0.6091,0.6037
111,0.5690,0.6433,0.6069
112,0.6164,0.5819,0.6006
113,0.9437,0.9799,0.9618
114,0.9301,0.9739,0.9520
115,1.0000,1.0000,1.0000
116,1.0000,1.0000,1.0000
117,0.6261,0.7626,0.6929
118,0.6822,0.7507,0.7169
119,0.7870,0.6375,0.7103
120,1.0000,1.0000,1.0000
121,0.5799,0.4723,0.5262
122,0.9505,0.8474,0.8980
123,0.3700,0.2674,0.3196
124,1.0000,1.0000,1.0000
125,0.9687,0.7082,0.8302
126,0.9037,0.9514,0.9275
127,0.5122,0.4230,0.4685
128,0.9634,0.9058,0.9345
129,0.9396,0.8971,0.9184
130,1.0000,1.0000,1.0000
131,1.0000,1.0000,1.0000
132,0.9335,0.9249,0.9294
133,1.0000,1.0000,1.0000
134,0.7057,0.6502,0.6788
135,0.1041,0.6095,0.3148
136,0.8491,0.6219,0.7295
137,-0.0130,0.4888,0.1929
138,0.9734,0.8339,0.9016
139,0.6907,0.6994,0.6963
140,0.8143,0.5955,0.6994
141,0.8350,0.8733,0.8546
142,0.9102,0.6596,0.7774
143,1.0000,1.0000,1.0000
144,0.3698,0.8080,0.5617
145,0.4084,0.8837,0.6147
146,1.0000,1.0000,1.0000
147,1.0000,1.0000,1.0000
148,0.6118,0.7562,0.6823
149,0.5377,0.7947,0.6580
150,0.1213,0.5572,0.3083
151,1.0000,1.0000,1.0000
152,1.0000,1.0000,1.0000
153,1.0000,1.0000,1.0000
154,0.9674,0.7870,0.8735
155,0.4955,0.4566,0.4779
156,0.4006,0.5144,0.4576
157,1.0000,1.0000,1.0000
158,0.6212,0.8049,0.7095
159,0.5436,0.3281,0.4305
160,1.0000,1.0000,1.0000
161,0.7447,0.6631,0.7042
162,0.9558,0.9547,0.9554
163,0.8516,0.8340,0.8434
164,0.6109,0.4901,0.5501
165,0.8831,0.8542,0.8691
166,0.8097,0.9736,0.8887
