sample_idx,bs_precision,bs_recall,bs_f1
0,0.1195,0.5760,0.3137
1,1.0000,1.0000,1.0000
2,0.3973,0.6614,0.5203
3,0.5557,0.7356,0.6423
4,0.3685,0.4856,0.4271
5,1.0000,1.0000,1.0000
6,0.1097,0.4744,0.2705
7,0.4499,0.8319,0.6210
8,0.3493,0.6353,0.4813
9,0.2325,0.6461,0.4133
10,0.4050,0.5462,0.4745
11,0.3534,0.6891,0.5055
12,0.1908,0.5891,0.3653
13,0.8643,0.9517,0.9074
14,0.3843,0.7527,0.5496
15,0.1166,0.4936,0.2821
16,0.1918,0.3286,0.2597
17,0.2820,0.5879,0.4217
18,1.0000,1.0000,1.0000
19,0.1489,0.5378,0.3193
20,0.6367,0.8799,0.7512
21,0.3083,0.6797,0.4740
22,0.6944,0.8549,0.7721
23,0.0335,0.5145,0.2340
24,0.5833,0.8884,0.7240
25,0.2252,0.4922,0.3488
26,0.3303,0.8312,0.5446
27,0.1320,0.6851,0.3594
28,0.4638,0.6293,0.5441
29,0.6180,0.8094,0.7097
30,0.0783,0.5928,0.2913
31,0.6461,0.7353,0.6908
32,0.3735,0.8393,0.5757
33,0.3584,0.6032,0.4732
34,1.0000,1.0000,1.0000
35,0.2811,0.5488,0.4052
36,0.8952,0.8740,0.8850
37,0.3945,0.5453,0.4684
38,0.2910,0.5966,0.4306
39,0.2383,0.3868,0.3113
40,0.5096,0.8770,0.6754
41,0.0020,0.3836,0.1672
42,0.7977,0.8878,0.8423
43,0.4476,0.8022,0.6079
44,0.0516,0.4574,0.2265
45,0.1835,0.5603,0.3498
46,0.5736,0.6471,0.6111
47,1.0000,1.0000,1.0000
48,0.6309,0.6679,0.6506
49,0.8797,0.8965,0.8885
50,0.6753,0.9127,0.7873
51,1.0000,1.0000,1.0000
52,0.3453,0.5148,0.4276
53,0.4441,0.8642,0.6300
54,0.8130,0.8998,0.8560
55,0.0902,0.4937,0.2650
56,0.1676,0.6205,0.3615
57,0.2909,0.6635,0.4569
58,0.1985,0.3030,0.2517
59,0.0635,0.5655,0.2719
60,0.4496,0.8480,0.6272
61,0.9665,0.9778,0.9722
62,0.8945,0.9033,0.8993
63,0.4884,0.6833,0.5818
64,0.0075,0.5537,0.2284
65,0.2367,0.6756,0.4269
66,0.1433,0.5678,0.3266
67,1.0000,1.0000,1.0000
68,-0.0085,0.4545,0.1848
69,0.5562,0.6891,0.6216
70,0.3563,0.5592,0.4532
71,0.3279,0.3748,0.3536
72,0.0351,0.6291,0.2720
73,-0.1206,0.1757,0.0115
74,0.3036,0.6401,0.4557
75,0.0840,0.3783,0.2176
76,0.5578,0.8844,0.7074
77,0.3678,0.7473,0.5372
78,0.4181,0.6966,0.5472
79,0.3289,0.6365,0.4696
80,0.1819,0.5065,0.3283
81,0.1561,0.5315,0.3216
82,0.4770,0.8245,0.6346
83,0.8259,0.9680,0.8948
84,0.9793,0.9938,0.9866
85,0.1093,0.4642,0.2664
86,0.4407,0.8091,0.6064
87,0.2751,0.8553,0.5157
88,0.1483,0.6972,0.3748
89,0.2520,0.6167,0.4146
90,0.3064,0.3585,0.3346
91,0.2508,0.8089,0.4832
92,0.1099,0.5041,0.2816
93,0.3382,0.8071,0.5410
94,0.5314,0.7628,0.6407
95,0.2772,0.6434,0.4406
96,0.1338,0.5625,0.3184
97,0.2398,0.7368,0.4509
98,0.5222,0.8952,0.6904
99,0.3599,0.7632,0.5385
100,0.5053,0.5560,0.5321
101,0.3223,0.5838,0.4440
102,0.1768,0.3479,0.2598
103,0.0654,0.5276,0.2603
104,0.5367,0.6975,0.6148
105,0.4525,0.8933,0.6464
106,0.0012,0.3613,0.1587
107,0.3238,0.8682,0.5533
108,0.8234,0.7802,0.8023
109,0.0677,0.4327,0.2281
110,0.1098,0.3522,0.2228
111,0.3998,0.6784,0.5289
112,0.1194,0.5422,0.3017
113,0.1072,0.6911,0.3437
114,0.3535,0.7873,0.5435
115,1.0000,1.0000,1.0000
116,0.2645,0.7164,0.4599
117,0.3198,0.5663,0.4353
118,0.7022,0.7877,0.7450
119,0.6559,0.8085,0.7301
120,0.9367,0.9741,0.9554
121,0.0897,0.5384,0.2805
122,0.8277,0.9313,0.8786
123,0.1555,0.4091,0.2733
124,0.9071,0.9245,0.9161
125,0.2054,0.7689,0.4384
126,0.3331,0.6162,0.4638
127,0.0568,0.3468,0.1885
128,0.3170,0.8301,0.5354
129,0.4442,0.7779,0.5961
130,0.3857,0.7240,0.5391
131,0.6750,0.7681,0.7215
132,0.8180,0.8455,0.8323
133,0.5306,0.8588,0.6807
134,0.2956,0.6862,0.4686
135,-0.1402,0.3902,0.0698
136,0.2042,0.5435,0.3565
137,-0.0584,0.6283,0.2011
138,0.4466,0.8080,0.6096
139,0.0126,0.3188,0.1501
140,0.1120,0.3878,0.2385
141,0.5043,0.8032,0.6422
142,0.4681,0.7840,0.6129
143,0.3615,0.5601,0.4565
144,0.3151,0.6885,0.4817
145,-0.1246,0.5809,0.1357
146,0.4299,0.8548,0.6175
147,0.7363,0.9514,0.8385
148,0.2676,0.5841,0.4115
149,0.3807,0.6355,0.4998
150,0.1575,0.6783,0.3748
151,0.5374,0.9344,0.7152
152,1.0000,1.0000,1.0000
153,0.7121,0.7262,0.7203
154,0.8404,0.9093,0.8747
155,0.4820,0.5969,0.5392
156,0.3033,0.5095,0.4016
157,0.6376,0.8987,0.7598
158,0.0426,0.6597,0.2870
159,0.5208,0.5341,0.5293
160,0.1881,0.7497,0.4200
161,0.5622,0.6897,0.6250
162,0.4704,0.6790,0.5698
163,0.1431,0.6437,0.3532
164,0.2751,0.3474,0.3130
165,0.1815,0.5558,0.3469
166,0.0796,0.6854,0.3220
167,0.0778,0.5026,0.2600
168,0.5383,0.8059,0.6632
169,0.3547,0.7203,0.5186
170,0.8511,0.9205,0.8856
171,0.1874,0.4921,0.3259
172,0.1690,0.8326,0.4329
173,0.0127,0.3364,0.1569
174,0.4598,0.8371,0.6292
175,0.1073,0.4668,0.2661
176,0.1807,0.5488,0.3437
177,0.9635,0.9924,0.9779
178,0.2781,0.6943,0.4605
179,0.1303,0.6171,0.3353
180,0.2509,0.6843,0.4393
181,0.2600,0.7428,0.4664
182,0.1861,0.6098,0.3699
183,1.0000,1.0000,1.0000
184,0.3404,0.7286,0.5130
185,0.7020,0.8200,0.7601
186,0.3079,0.7663,0.5063
187,0.7144,0.8093,0.7616
188,0.3120,0.6716,0.4732
189,0.0564,0.3960,0.2071
190,0.3119,0.6546,0.4665
191,0.2746,0.4842,0.3744
192,0.1396,0.5407,0.3144
193,1.0000,1.0000,1.0000
194,0.3816,0.7121,0.5318
195,0.2202,0.5101,0.3531
196,0.6976,0.8671,0.7794
197,-0.1921,0.4450,0.0454
198,0.3898,0.7375,0.5469
199,0.6011,0.9374,0.7548
