sample_idx,token_f1,faithfulness
0,0.7778,0.8095
1,0.6667,0.7971
2,0.5291,0.6038
3,0.4867,0.8095
4,0.7333,0.8088
5,0.6463,0.6897
6,0.4932,0.5000
7,0.5442,0.6735
8,0.5373,0.5806
9,0.5773,0.8529
10,0.4875,0.5472
11,0.8082,0.9524
12,0.5867,0.7027
13,0.5620,0.6170
14,0.3226,0.4516
15,0.3902,0.8627
16,0.4787,0.5085
17,0.6759,0.7419
18,0.3448,0.7368
19,0.5470,0.8810
20,0.5227,0.7797
21,0.4928,0.6364
22,0.4688,0.7903
23,0.6500,0.7500
24,0.5000,0.8406
25,0.4800,0.7297
26,0.3571,0.5833
27,0.3871,0.8824
28,0.7438,0.8000
29,0.3846,0.8125
30,0.6667,0.7976
31,0.4134,0.4630
32,0.6629,0.7377
33,0.5565,0.7174
34,0.5435,0.7358
35,0.7552,0.9053
36,0.5470,0.7333
37,0.6475,0.6981
38,0.7040,0.7545
39,0.5455,0.6389
40,0.4800,0.4865
41,0.4138,0.5294
42,0.3288,0.3478
43,0.5339,0.7714
44,0.6491,0.8000
45,0.3667,0.5926
46,0.4964,0.5893
47,0.5545,0.6250
48,0.5354,0.6441
49,0.4643,0.7619
50,0.6798,0.7949
51,0.5931,0.6212
52,0.5969,0.6562
53,0.5197,0.7222
54,0.4490,0.3922
55,0.3333,0.6667
56,0.6709,0.8118
57,0.7164,0.7273
58,0.5556,0.6875
59,0.7353,0.8305
60,0.6667,0.8333
61,0.7870,1.0000
62,0.5978,0.5758
63,0.7705,0.7667
64,0.3922,0.8182
65,0.5603,0.7564
66,0.7771,0.8039
67,0.3934,0.6545
68,0.6990,0.7805
69,0.6429,0.8769
70,0.4972,0.8710
71,0.5949,0.8627
72,0.4356,0.6047
73,0.8182,0.7241
74,0.1860,0.7778
75,0.6557,0.9200
76,0.7243,0.7778
77,0.6320,0.7684
78,0.7222,0.8462
79,0.6596,0.6579
80,0.5677,0.7349
81,0.3128,0.6667
82,0.5385,0.7326
83,0.5143,0.8889
84,0.4768,0.7167
85,0.2136,0.7059
86,0.4359,0.5167
87,0.5484,0.5000
88,0.5750,0.6885
89,0.5275,0.6923
90,0.6275,0.7174
91,0.7807,0.7639
92,0.4845,0.7176
93,0.6496,1.0000
94,0.6347,0.8030
95,0.6727,0.8718
96,0.6552,0.8036
97,0.6557,0.9412
98,0.4818,0.8947
99,0.6094,0.7500
100,0.4179,0.7000
101,0.6325,0.6842
102,0.5941,0.6667
103,0.5616,0.7736
104,0.2774,0.5600
105,0.4894,0.4865
106,0.6536,0.8000
107,0.5500,0.7500
108,0.7081,0.7692
109,0.3516,0.6875
110,0.6963,0.6964
111,0.5714,0.8333
112,0.6218,0.9206
113,0.6700,0.8214
114,0.5941,0.7660
115,0.5556,0.7500
116,0.4207,0.9032
117,0.5806,0.9130
118,0.7407,0.8182
119,0.4923,0.7188
120,0.6609,0.7436
121,0.4954,0.7429
122,0.5786,0.6667
123,0.3878,0.5000
124,0.8128,0.9722
125,0.5096,0.5435
126,0.3308,0.5686
127,0.5652,0.6883
128,0.6591,0.4516
129,0.5846,0.8095
130,0.3774,0.8182
131,0.7024,0.7381
132,0.4149,0.7778
133,0.6797,0.8788
134,0.4806,0.5455
135,0.4038,0.4857
136,0.6667,0.6790
137,0.4915,0.6786
138,0.3333,0.5952
139,0.7158,0.7297
140,0.6611,0.7206
141,0.5660,0.6047
142,0.4960,0.8852
143,0.7438,0.8163
144,0.6256,0.5541
145,0.5385,0.5769
146,0.4590,0.6042
147,0.4972,0.7049
148,0.4746,0.9630
149,0.8267,0.9259
150,0.6000,0.8108
151,0.6494,0.7955
152,0.7973,0.7719
153,0.6577,0.5185
154,0.5938,0.6735
155,0.3038,0.4048
156,0.6494,0.6182
157,0.5679,0.6897
158,0.6174,0.7647
159,0.6769,0.8077
160,0.4776,0.5818
161,0.7104,0.9683
162,0.4000,0.7963
163,0.7945,0.7800
164,0.5469,0.7778
165,0.4719,0.4500
166,0.5241,0.7761
167,0.6163,0.8621
168,0.6899,0.7895
169,0.4407,0.6389
170,0.4545,1.0000
171,0.2683,0.8333
172,0.3511,0.5128
173,0.4516,0.8077
174,0.5361,0.7333
175,0.6667,0.7556
176,0.6344,0.6066
177,0.6627,0.7455
178,0.6294,0.7206
179,0.3371,0.6333
180,0.5490,0.8250
181,0.4286,0.7647
182,0.5294,0.7183
183,0.5556,0.7910
184,0.4088,0.8462
185,0.6418,0.4590
186,0.2319,0.6818
187,0.5571,0.7222
188,0.7195,0.6230
189,0.6446,0.7368
190,0.5280,0.4130
191,0.4457,0.6232
192,0.5641,0.6389
193,0.6527,0.8507
194,0.5152,0.5405
195,0.3741,0.8056
196,0.2000,0.7679
197,0.4795,0.8409
198,0.4583,0.4688
199,0.5034,0.7407
