sample_idx,token_f1,faithfulness
0,0.1818,0.8571
1,0.2472,0.7778
2,0.1168,1.0000
3,0.2431,0.7667
4,0.5899,0.7778
5,0.5385,0.7222
6,0.3840,0.5789
7,0.4640,0.6364
8,0.5000,0.6667
9,0.4848,0.9608
10,0.1188,0.8333
11,0.4270,0.8947
12,0.6471,0.8571
13,0.4646,0.6897
14,0.2645,0.5517
15,0.1359,0.6923
16,0.3676,0.7353
17,0.3860,0.9412
18,0.2564,0.8000
19,0.3964,0.8205
20,0.3103,0.7368
21,0.3509,0.9231
22,0.3167,0.7083
23,0.2353,0.7000
24,0.4025,0.8333
25,0.3220,0.6667
26,0.1690,0.6667
27,0.4242,0.7727
28,0.4634,0.7727
29,0.1714,0.8889
30,0.3607,0.8056
31,0.2783,0.6500
32,0.2909,0.8333
33,0.3704,0.5610
34,0.2689,0.7222
35,0.4521,0.7812
36,0.2391,0.8571
37,0.5378,0.6905
38,0.6109,0.7143
39,0.5133,0.6562
40,0.3596,0.5862
41,0.2812,0.8235
42,0.2951,0.7692
43,0.5340,0.7576
44,0.5000,0.7812
45,0.3091,0.7778
46,0.3421,0.7778
47,0.3103,0.7097
48,0.3636,0.6842
49,0.1370,0.8462
50,0.1495,0.6667
51,0.3250,0.4000
52,0.1593,0.6364
53,0.3697,0.6667
54,0.1687,0.6667
55,0.3103,0.6154
56,0.0940,0.2683
57,0.1935,0.6667
58,0.4706,0.6923
59,0.6667,0.7317
60,0.1277,0.8000
61,0.2615,0.5926
62,0.4493,0.6667
63,0.5000,0.8667
64,0.3505,0.8500
65,0.2800,0.7333
66,0.1935,0.7778
67,0.3261,0.5909
68,0.6047,0.7500
69,0.6087,0.8723
70,0.3309,0.7742
71,0.5120,0.8125
72,0.6000,0.7500
73,0.7907,0.8148
74,0.1798,0.7500
75,0.6970,0.8889
76,0.1905,0.7727
77,0.1410,0.6000
78,0.3307,0.7895
79,0.6933,0.8571
80,0.4024,0.8537
81,0.1169,0.7273
82,0.2031,0.8889
83,0.2474,0.7500
84,0.2000,0.7500
85,0.1364,0.8333
86,0.2222,0.9091
87,0.4255,0.6923
88,0.1739,0.8182
89,0.3034,0.6111
90,0.1404,0.2000
91,0.2787,0.5556
92,0.6620,0.7358
93,0.4557,0.9524
94,0.4356,0.6000
95,0.3908,0.7500
96,0.2388,0.5312
97,0.6774,0.9444
98,0.1972,0.7273
99,0.2500,0.9167
100,0.1882,0.6667
101,0.1200,0.7778
102,0.5714,0.6765
103,0.4301,0.9091
104,0.1121,1.0000
105,0.1364,0.5714
106,0.2222,0.8182
107,0.3898,0.7059
108,0.2041,1.0000
109,0.2955,0.7857
110,0.3721,0.8421
111,0.5217,0.8929
112,0.6222,0.7736
113,0.0305,0.0455
114,0.4638,0.9000
115,0.3605,0.6977
116,0.4727,0.8846
117,0.4228,1.0000
118,0.5714,0.9286
119,0.5769,0.6400
120,0.4906,0.5161
121,0.3011,0.5806
122,0.2222,0.7083
123,0.3371,0.6000
124,0.2523,1.0000
125,0.1400,1.0000
126,0.3284,0.6364
127,0.2675,0.9286
128,0.3636,0.8333
129,0.4874,0.7778
130,0.3462,0.8000
131,0.3780,0.6857
132,0.4301,0.7200
133,0.5455,0.9512
134,0.4103,0.7407
135,0.1176,0.7143
136,0.3692,0.6429
137,0.3833,0.8214
138,0.1316,0.8333
139,0.6667,0.7647
140,0.3164,0.6774
141,0.5294,0.7826
142,0.2041,0.8333
143,0.5000,0.7000
144,0.3636,0.7586
145,0.4211,0.5000
146,0.3750,0.7073
147,0.4154,0.6970
148,0.1558,0.8571
149,0.4490,1.0000
150,0.5185,0.7826
151,0.3540,0.8947
152,0.2921,0.6111
153,0.2857,0.5600
154,0.2400,0.7500
155,0.4667,0.6400
156,0.3200,0.5789
157,0.3091,0.8095
158,0.2449,0.6875
159,0.3571,0.6957
160,0.4854,0.6944
161,0.1553,0.8000
162,0.4706,0.7143
163,0.6519,0.7273
164,0.2245,0.7143
165,0.5484,0.5652
166,0.2149,0.6190
167,0.3750,0.8696
168,0.1840,0.9545
169,0.1412,1.0000
170,0.3590,0.8571
171,0.2400,0.7500
172,0.2500,0.6190
173,0.3659,0.7500
174,0.4045,0.8462
175,0.4536,0.7931
176,0.4658,0.7568
177,0.4724,0.6786
178,0.3885,0.6364
179,0.3704,0.9091
180,0.0671,0.6000
181,0.4507,0.7647
182,0.4000,0.8824
183,0.4762,0.8293
184,0.2203,0.8333
185,0.3636,0.8095
186,0.1923,0.6667
187,0.2979,0.6250
188,0.4754,0.6970
189,0.5926,0.9655
190,0.3243,1.0000
191,0.1961,0.5385
192,0.5161,0.4286
193,0.3043,0.7429
194,0.5042,0.6333
195,0.2609,0.9412
196,0.2857,0.8333
197,0.2615,0.7200
198,0.2540,0.7000
199,0.4821,0.7353
