sample_idx,token_f1,faithfulness
0,0.9231,1.0000
1,0.6341,0.8125
2,0.2930,1.0000
3,0.2239,0.4444
4,0.0698,1.0000
5,0.3892,1.0000
6,0.3922,0.5556
7,0.4786,1.0000
8,0.1144,1.0000
9,0.8485,1.0000
10,0.2979,0.9000
11,0.6829,1.0000
12,0.2200,0.8462
13,0.6556,1.0000
14,0.1616,0.8889
15,0.5102,1.0000
16,0.8889,0.5000
17,0.3179,0.9531
18,0.7368,1.0000
19,0.6849,0.9351
20,0.8462,1.0000
21,0.5714,0.9259
22,0.3514,1.0000
23,0.2647,1.0000
24,0.9167,1.0000
25,0.9333,0.9474
26,0.5854,0.9130
27,0.1709,0.1667
28,0.4242,0.6154
29,1.0000,1.0000
30,0.7692,1.0000
31,0.2667,1.0000
32,0.0976,0.5455
33,0.7660,0.8636
34,0.4056,1.0000
35,0.7317,0.7333
36,0.3832,0.9394
37,0.4342,1.0000
38,0.3838,1.0000
39,0.5888,1.0000
40,0.3276,1.0000
41,0.3503,1.0000
42,0.8095,1.0000
43,0.0113,1.0000
44,0.4528,1.0000
45,0.2143,0.5333
46,0.3158,1.0000
47,0.4000,0.9167
48,0.2062,1.0000
49,0.9861,1.0000
50,0.8235,1.0000
51,0.6667,0.6842
52,0.5600,1.0000
53,0.2479,1.0000
54,0.3922,1.0000
55,0.2931,0.9315
56,0.9524,1.0000
57,0.4147,1.0000
58,0.5581,1.0000
59,0.5000,1.0000
60,0.6194,1.0000
61,0.8174,1.0000
62,0.7013,1.0000
63,0.5571,1.0000
64,0.7191,0.8250
65,0.6207,0.8571
66,0.6098,1.0000
67,0.3600,1.0000
68,0.4167,1.0000
69,0.7333,1.0000
70,0.1132,0.7500
71,0.2615,1.0000
72,0.2523,1.0000
73,0.7083,0.9524
74,0.6667,1.0000
75,0.4615,0.7500
76,0.4375,0.9048
77,0.5625,0.6667
78,0.5333,1.0000
79,0.1047,0.2022
80,0.7727,1.0000
81,0.7475,1.0000
82,0.2970,0.9286
83,0.3924,1.0000
84,0.7111,0.8824
85,0.4444,1.0000
86,0.5797,0.9333
87,0.6000,1.0000
88,0.0714,0.8571
89,0.6341,0.8929
90,0.4444,1.0000
91,0.4082,0.7059
92,0.8333,0.8696
93,0.2344,0.7662
94,0.1687,1.0000
95,0.3360,0.0769
96,0.4000,1.0000
97,0.7037,0.9000
98,0.4138,1.0000
99,0.1386,0.4444
100,0.7647,1.0000
101,0.5806,1.0000
102,0.5185,0.8571
103,0.3896,1.0000
104,0.2857,1.0000
105,0.1468,1.0000
106,0.6400,0.8824
107,0.5000,1.0000
108,1.0000,1.0000
109,0.9091,1.0000
110,0.0976,0.8889
111,0.2703,0.9615
112,0.8028,1.0000
113,0.8485,1.0000
114,0.4898,0.9231
115,0.7091,0.8837
116,0.5625,0.7143
117,0.3529,0.0000
118,0.4697,1.0000
119,0.3871,0.9091
120,0.6299,1.0000
121,0.3789,1.0000
122,0.2326,1.0000
123,0.3571,0.8000
124,0.1739,0.8571
125,0.4110,0.9865
126,1.0000,1.0000
127,0.9524,0.9474
128,0.2439,0.9683
129,0.5070,0.9556
130,0.3077,0.9000
131,0.5577,0.9310
132,0.4444,0.9000
133,1.0000,1.0000
134,0.1875,1.0000
135,0.7368,0.9524
136,0.1951,0.8000
137,0.6667,0.8889
138,0.4242,0.9167
139,0.8000,1.0000
140,0.2058,1.0000
141,0.3306,1.0000
142,0.4706,0.8889
143,0.3101,1.0000
144,0.5714,1.0000
145,0.3256,0.8462
146,0.7234,0.8947
147,0.4242,0.8929
148,0.6486,0.9231
149,0.4706,0.7000
150,0.1818,0.7895
151,0.2892,0.6923
152,0.0488,0.8571
153,0.8158,1.0000
154,0.1898,1.0000
155,0.2800,1.0000
156,0.4202,1.0000
157,1.0000,0.9444
158,0.7647,1.0000
159,0.6587,1.0000
160,0.5385,0.8000
161,0.4828,0.7500
162,0.5106,0.9750
163,0.5111,0.9737
164,0.3621,1.0000
165,0.7458,0.7941
166,0.5301,1.0000
167,0.7925,0.6154
168,0.2927,0.8500
169,0.4958,1.0000
170,0.5057,1.0000
171,0.7500,1.0000
172,0.5957,0.9500
173,0.8393,1.0000
174,0.2985,0.9091
175,0.3226,1.0000
176,0.8276,1.0000
177,0.5902,1.0000
178,0.5043,1.0000
179,0.8571,0.9167
180,0.3478,0.4444
181,0.4828,0.9333
182,0.7692,1.0000
183,0.6818,1.0000
184,0.7333,1.0000
185,0.2500,0.7500
186,0.5122,0.9091
187,0.9565,1.0000
188,0.9118,1.0000
189,0.8791,1.0000
190,0.7368,0.7647
191,0.3158,0.9286
192,0.5044,1.0000
193,0.2963,0.7500
194,0.9960,1.0000
195,0.7619,1.0000
196,0.1948,1.0000
197,0.5455,0.8462
198,0.8182,1.0000
199,0.8667,1.0000
