sample_idx,token_f1,faithfulness
0,0.5750,0.7381
1,0.7391,0.9000
2,0.3582,0.6885
3,0.3250,0.4082
4,0.1164,0.7500
5,0.1242,0.8276
6,0.3030,0.5455
7,0.4272,0.8947
8,0.1078,0.8000
9,0.8000,0.7368
10,0.3776,0.7681
11,0.6667,0.7500
12,0.4490,0.6364
13,0.5990,0.7460
14,0.2500,0.8571
15,0.5682,0.7660
16,0.6000,0.4167
17,0.4474,0.7843
18,0.3934,0.5294
19,0.4367,0.6395
20,0.6047,0.8571
21,0.5391,0.6964
22,0.2750,0.6531
23,0.2593,0.8929
24,0.5641,0.6667
25,0.7213,0.8929
26,0.5124,0.7895
27,0.5714,0.5870
28,0.5000,0.6522
29,0.7733,0.8571
30,0.7692,1.0000
31,0.2766,0.8125
32,0.2466,0.7105
33,0.7451,0.8800
34,0.5000,0.9020
35,0.6486,0.6429
36,0.4800,0.6897
37,0.5298,0.7966
38,0.3787,0.8200
39,0.3774,0.7744
40,0.3974,0.7397
41,0.2755,0.6585
42,0.7667,0.7949
43,0.0847,0.8462
44,0.5926,0.7959
45,0.4396,0.7317
46,0.4545,0.8800
47,0.7671,0.9643
48,0.3571,0.7500
49,0.5521,0.7083
50,0.6383,0.7273
51,0.4865,0.4783
52,0.5432,0.9259
53,0.3400,0.7656
54,0.2414,0.7241
55,0.2366,0.7368
56,0.6471,0.6957
57,0.4962,0.7742
58,0.6818,0.7273
59,0.4783,0.7500
60,0.4054,0.6765
61,0.4027,0.8061
62,0.6753,0.9600
63,0.3950,0.9239
64,0.6000,0.7209
65,0.5581,0.7917
66,0.5176,0.8846
67,0.4167,0.9615
68,0.6667,0.8333
69,0.6471,0.9118
70,0.2482,0.6970
71,0.2200,0.7143
72,0.1905,0.7273
73,0.7813,0.8387
74,0.4000,0.9512
75,0.3256,0.6522
76,0.3947,0.6111
77,0.5161,0.7500
78,0.3607,0.7143
79,0.1429,0.2195
80,0.7083,0.7857
81,0.8333,0.8723
82,0.2680,0.7759
83,0.3511,0.7692
84,0.3733,0.5238
85,0.5000,0.8182
86,0.5306,0.8727
87,0.4348,0.4884
88,0.1059,1.0000
89,0.6947,0.8462
90,0.5263,0.8125
91,0.5294,0.6364
92,0.5357,0.5333
93,0.4815,0.6333
94,0.1897,0.6615
95,0.3619,0.1071
96,0.3964,0.6809
97,0.7925,0.8571
98,0.3214,0.8000
99,0.2097,0.4138
100,0.5778,0.7826
101,0.5161,0.8889
102,0.4304,0.7391
103,0.3420,0.4667
104,0.6034,0.8571
105,0.3063,0.7917
106,0.3077,0.5246
107,0.5854,0.9286
108,0.5714,0.6731
109,0.6471,0.7241
110,0.4545,0.5357
111,0.2400,0.6897
112,0.5755,0.6939
113,0.8750,1.0000
114,0.4603,0.8140
115,0.4199,0.4507
116,0.4783,0.6341
117,0.3774,0.7000
118,0.4819,0.8108
119,0.3684,0.7857
120,0.5000,0.7317
121,0.4384,0.6528
122,0.5079,0.5588
123,0.4889,0.5000
124,0.0976,0.9200
125,0.3279,0.6154
126,0.6944,0.7500
127,0.7692,0.9630
128,0.2581,0.8810
129,0.3725,0.8243
130,0.3077,0.6207
131,0.5149,0.7429
132,0.6471,0.8125
133,0.7838,0.7778
134,0.1739,0.9388
135,0.6500,0.8378
136,0.3667,0.7037
137,0.7879,0.8667
138,0.3624,0.7183
139,0.8462,0.9259
140,0.1584,1.0000
141,0.5000,0.7250
142,0.4762,0.8125
143,0.3846,0.4651
144,0.5000,0.9643
145,0.2812,0.8621
146,0.6176,0.8276
147,0.3810,0.5952
148,0.6154,0.7917
149,0.2188,0.6136
150,0.1869,0.7353
151,0.4694,0.5333
152,0.1067,0.8000
153,0.6069,0.7018
154,0.2867,0.7500
155,0.3115,0.8679
156,0.3750,0.7391
157,0.9630,0.8919
158,0.5641,0.7115
159,0.5902,0.8000
160,0.3448,0.8684
161,0.5660,0.5849
162,0.3846,0.7308
163,0.5846,0.9348
164,0.3717,0.7295
165,0.7458,0.7941
166,0.4459,0.6780
167,0.7273,0.4667
168,0.2342,0.6508
169,0.5500,0.7342
170,0.5455,0.7250
171,0.7500,1.0000
172,0.4746,0.7586
173,0.6333,0.6087
174,0.4444,0.8000
175,0.3238,0.7692
176,0.8108,0.7500
177,0.3871,0.7273
178,0.5657,0.7073
179,0.8571,0.9167
180,0.7273,0.6667
181,0.3115,0.7042
182,0.7619,0.7500
183,0.6818,1.0000
184,0.5455,0.7500
185,0.2979,0.8000
186,0.4146,0.6522
187,0.6486,0.6316
188,0.8869,1.0000
189,0.6061,0.8475
190,0.7059,0.7500
191,0.5333,0.6047
192,0.5217,0.7534
193,0.3396,0.8387
194,0.6250,0.6962
195,0.2018,0.7125
196,0.5610,0.8667
197,0.8000,0.8889
198,0.5193,0.6400
199,0.7647,0.8148
