sample_idx,token_f1,faithfulness
0,0.8052,0.6786
1,1.0000,1.0000
2,1.0000,1.0000
3,0.7294,1.0000
4,0.7363,0.9559
5,1.0000,1.0000
6,0.7794,0.8478
7,0.8148,1.0000
8,0.6486,0.9091
9,1.0000,1.0000
10,0.7290,0.9535
11,1.0000,1.0000
12,1.0000,1.0000
13,0.9600,0.8333
14,0.8621,1.0000
15,0.7692,0.7857
16,0.5143,0.5333
17,0.9474,0.9167
18,1.0000,0.7500
19,0.6773,0.9275
20,0.6667,0.9474
21,0.9455,1.0000
22,1.0000,0.9048
23,1.0000,0.9474
24,1.0000,0.9375
25,0.9204,1.0000
26,0.6207,1.0000
27,0.8889,1.0000
28,0.8923,0.4483
29,0.8197,0.7273
30,0.6667,1.0000
31,0.6613,0.9231
32,1.0000,1.0000
33,0.8158,0.8529
34,1.0000,0.9412
35,0.6053,0.9245
36,1.0000,0.8571
37,0.5455,0.9833
38,0.7143,1.0000
39,0.5556,0.8235
40,0.6667,0.8571
41,0.8966,0.8361
42,1.0000,1.0000
43,1.0000,0.9524
44,0.8842,0.9545
45,0.8830,0.9844
46,0.5128,0.9231
47,1.0000,0.8333
48,0.7895,0.9444
49,0.9231,0.9091
50,1.0000,0.9231
51,1.0000,0.7500
52,0.5833,0.9091
53,0.8889,1.0000
54,0.9538,1.0000
55,0.7692,0.8333
56,1.0000,0.8750
57,0.8807,0.9423
58,0.4333,1.0000
59,0.9268,0.9697
60,0.9554,1.0000
61,0.8525,0.8889
62,1.0000,1.0000
63,0.7500,0.9762
64,0.5946,0.9583
65,0.9655,1.0000
66,0.5934,0.7660
67,1.0000,1.0000
68,1.0000,0.6000
69,0.7200,1.0000
70,0.7939,0.9796
71,0.6000,1.0000
72,0.6364,1.0000
73,0.5806,0.5882
74,0.6400,0.8462
75,1.0000,0.8947
76,0.5294,0.8333
77,0.9286,0.9286
78,0.7179,0.9231
79,0.7520,0.7885
80,0.5273,0.4800
81,0.7013,1.0000
82,0.9123,1.0000
83,0.8889,1.0000
84,1.0000,0.7857
85,0.4225,1.0000
86,0.9189,0.9143
87,1.0000,0.9091
88,0.6207,0.7879
89,0.9345,0.9540
90,0.4032,0.8269
91,1.0000,1.0000
92,0.6545,0.8542
93,1.0000,1.0000
94,0.6034,0.9091
95,1.0000,0.7000
96,0.9231,0.8276
97,0.8889,0.8667
98,0.7568,0.9500
99,1.0000,0.8000
100,0.6933,0.9565
101,0.8485,0.8333
102,0.6370,0.9545
103,0.8000,0.7143
104,0.5467,0.8846
105,1.0000,0.8750
106,0.6250,1.0000
107,0.7826,0.9167
108,0.8857,0.9273
109,1.0000,1.0000
110,0.5856,0.7887
111,0.5455,0.8889
112,0.4839,0.7647
113,1.0000,1.0000
114,1.0000,1.0000
115,1.0000,0.9412
116,1.0000,0.9545
117,0.7500,0.9038
118,0.6842,0.8462
119,0.6923,0.9062
120,1.0000,1.0000
121,0.5529,0.8750
122,1.0000,0.6111
123,0.9725,0.9773
124,1.0000,1.0000
125,0.6667,1.0000
126,0.8800,1.0000
127,0.5412,0.9615
128,0.9375,0.9286
129,0.9752,0.8919
130,1.0000,0.9583
131,1.0000,0.9286
132,0.9444,0.9375
133,0.9552,0.9630
134,0.8313,0.9400
135,0.6207,0.9375
136,0.6812,0.8364
137,0.3030,0.7917
138,0.8333,0.8333
139,0.6301,0.8036
140,0.4957,0.8235
141,0.7636,0.8846
142,0.4615,0.7500
143,1.0000,1.0000
144,0.5238,0.9286
145,0.4800,0.9412
146,1.0000,0.9167
147,1.0000,0.9167
148,0.6222,0.9737
149,0.6596,0.8333
150,0.9362,1.0000
151,1.0000,1.0000
152,1.0000,1.0000
153,0.9895,1.0000
154,0.9062,0.9677
155,0.6286,0.5610
156,0.5634,0.8182
157,0.6667,1.0000
158,0.7500,0.7857
159,0.4528,0.9000
160,0.9091,0.6364
161,0.7719,0.9167
162,0.9762,0.9836
163,0.9091,0.9333
164,0.6296,0.8485
165,0.8864,0.9714
166,0.9091,0.9167
167,0.5714,0.7826
168,0.7925,0.9583
169,1.0000,1.0000
170,1.0000,0.6000
171,0.6875,0.6667
172,0.7143,0.6667
173,0.2500,0.8571
174,0.7647,1.0000
175,0.9231,1.0000
176,0.9048,0.8947
177,0.9697,0.8667
178,0.9851,0.9643
179,1.0000,1.0000
180,0.6824,0.9730
181,0.7742,0.8889
182,1.0000,0.6154
183,1.0000,1.0000
184,1.0000,1.0000
185,0.8261,0.9091
186,1.0000,0.8750
187,0.9412,1.0000
188,0.9444,0.9787
189,0.6374,0.7949
190,0.7857,0.9091
191,0.6000,0.8200
192,0.2439,0.9412
193,1.0000,1.0000
194,0.4679,0.9545
195,0.6667,1.0000
196,1.0000,1.0000
197,0.2273,0.9583
198,0.9286,0.9574
199,1.0000,1.0000
