sample_idx,token_f1,faithfulness
0,0.5289,0.6935
1,0.7500,0.7000
2,0.5231,0.6071
3,0.6667,0.8929
4,0.6164,0.8070
5,1.0000,1.0000
6,0.6000,0.6197
7,0.4848,0.9524
8,0.4412,0.5263
9,0.3582,0.8667
10,0.5841,0.6735
11,0.5789,0.7500
12,0.8108,1.0000
13,0.8667,0.7647
14,0.6067,0.8511
15,0.5385,0.6923
16,0.7727,0.4545
17,0.6420,0.7895
18,0.9412,0.7222
19,0.5397,0.7500
20,0.7442,0.8500
21,0.6234,0.8261
22,0.9787,0.9048
23,0.3167,0.7532
24,0.5217,0.8571
25,0.5234,0.8372
26,0.5965,1.0000
27,0.5556,0.8636
28,0.4444,0.4167
29,0.5854,0.6579
30,0.1579,0.8667
31,0.5693,0.7551
32,0.7500,0.8889
33,0.4898,0.6522
34,1.0000,0.9412
35,0.6082,0.8281
36,0.9630,0.9231
37,0.5532,0.7167
38,0.4706,0.8125
39,0.2937,0.4783
40,0.7368,0.7500
41,0.4302,0.7185
42,1.0000,1.0000
43,0.7907,0.8571
44,0.4224,0.6709
45,0.7317,0.8630
46,0.6769,0.8281
47,1.0000,0.8333
48,0.6013,0.7794
49,0.9231,0.9091
50,0.5806,0.6875
51,0.8000,0.5833
52,0.5684,0.8049
53,0.3659,0.8958
54,0.7887,0.8649
55,0.3143,0.7805
56,0.4211,0.5769
57,0.8174,0.9630
58,0.5510,0.6977
59,0.8000,0.8947
60,0.8228,0.7879
61,1.0000,0.9062
62,0.8485,0.8421
63,0.7551,0.8333
64,0.3385,0.8974
65,0.6099,0.8214
66,0.4144,0.6818
67,0.8000,0.7273
68,0.4000,0.3448
69,0.5610,0.9697
70,0.6000,0.7059
71,0.5455,0.6667
72,0.3182,0.9355
73,0.5143,0.5238
74,0.8276,0.6471
75,0.5000,0.5652
76,0.5294,0.8333
77,0.7368,0.9167
78,0.5915,0.7941
79,0.5379,0.7460
80,0.4545,0.3974
81,0.6992,1.0000
82,0.6933,0.8205
83,0.6957,0.6923
84,1.0000,0.7857
85,0.4940,0.8784
86,0.8193,0.8372
87,0.6471,0.7273
88,0.3881,0.6098
89,0.7027,0.8471
90,0.4228,0.7200
91,1.0000,1.0000
92,0.4336,0.5833
93,0.5897,0.9211
94,0.5366,0.7424
95,0.4286,0.5926
96,0.4694,0.5862
97,0.7273,0.8000
98,0.7368,0.9524
99,0.9091,0.7083
100,0.5745,0.7922
101,0.5957,0.7857
102,0.5217,0.8000
103,0.4286,0.5263
104,0.6584,0.8621
105,0.7391,0.8519
106,0.6111,0.8235
107,0.5143,0.8864
108,0.7068,0.7451
109,0.3958,0.7255
110,0.3962,0.7204
111,0.4468,0.8571
112,0.4539,0.5574
113,0.4615,0.8929
114,0.8182,0.9231
115,0.6522,0.8929
116,0.6000,0.7714
117,0.6575,0.7971
118,0.6829,0.8824
119,0.8160,0.9091
120,1.0000,1.0000
121,0.4286,0.7938
122,0.9474,0.5500
123,0.4483,0.6957
124,0.8889,0.9474
125,0.4528,0.6562
126,0.4194,0.7000
127,0.4167,0.8049
128,0.5854,0.7826
129,0.7826,0.8113
130,0.5476,0.7872
131,0.9231,0.9167
132,0.7222,0.8125
133,0.7529,0.8462
134,0.8293,0.8947
135,0.3673,0.6970
136,0.6127,0.7143
137,0.2000,0.8000
138,0.6400,0.7143
139,0.5521,0.6712
140,0.4528,0.7344
141,0.6780,0.8333
142,0.6429,0.7143
143,0.6299,0.8305
144,0.5366,0.9655
145,0.2333,0.5870
146,0.7742,0.9444
147,0.9231,0.9286
148,0.8500,0.9355
149,0.5176,0.6512
150,0.6765,0.7500
151,0.7778,0.7273
152,1.0000,1.0000
153,0.6667,0.7500
154,0.8710,0.8966
155,0.5738,0.5098
156,0.4032,0.6061
157,0.5714,0.8095
158,0.4000,0.7667
159,0.6587,0.8281
160,0.9091,0.6364
161,0.6667,0.7879
162,0.8101,0.8246
163,0.3529,0.6562
164,0.5588,0.7170
165,0.4903,0.7308
166,0.5405,0.8400
167,0.2917,0.5312
168,0.6377,0.9459
169,0.5946,0.8519
170,0.7273,0.7000
171,0.3714,0.8182
172,0.5000,0.7143
173,0.2000,0.7778
174,0.5581,0.7931
175,0.4889,0.5909
176,0.3636,0.7619
177,1.0000,0.8125
178,0.6824,0.7674
179,0.4615,0.7500
180,0.6602,0.8200
181,0.5581,0.8462
182,0.6977,0.6000
183,1.0000,1.0000
184,0.6875,0.8333
185,0.7170,0.7407
186,0.9000,0.7500
187,0.8205,0.8000
188,0.6727,0.8696
189,0.6327,0.7273
190,0.6842,0.6500
191,0.6282,0.7385
192,0.2857,0.7667
193,1.0000,1.0000
194,0.4621,0.9636
195,0.6747,0.8966
196,0.8571,0.8571
197,0.2000,0.9167
198,0.5638,0.8654
199,0.6667,0.8333
