sample_idx,token_f1,faithfulness
0,0.4776,0.8955
1,0.5727,0.8333
2,0.5000,0.7234
3,0.4510,0.6889
4,0.7701,0.7500
5,0.6905,0.7937
6,0.5250,0.5667
7,0.6228,0.6774
8,0.5000,0.5625
9,0.5905,0.7317
10,0.4177,0.6731
11,0.9147,0.8776
12,0.6154,0.8378
13,0.4909,0.5556
14,0.3415,0.5172
15,0.4444,0.6379
16,0.5549,0.5741
17,0.6483,0.7500
18,0.6846,0.6984
19,0.6433,0.8625
20,0.6625,0.7400
21,0.5981,0.6383
22,0.5175,0.7640
23,0.6591,0.9600
24,0.6508,0.8636
25,0.4861,0.7872
26,0.4000,0.9167
27,0.6207,0.8182
28,0.5987,0.9054
29,0.8468,0.8750
30,0.6403,0.7684
31,0.4626,0.8718
32,0.6429,0.8049
33,0.5439,0.6512
34,0.6837,0.8000
35,0.6091,0.8103
36,0.5556,0.7838
37,0.5547,0.6111
38,0.6928,0.8000
39,0.5546,0.5641
40,0.4476,0.4375
41,0.2338,0.6000
42,0.4000,0.4286
43,0.4032,0.8636
44,0.6071,0.7895
45,0.6592,0.6462
46,0.4786,0.5870
47,0.4929,0.6491
48,0.5500,0.7407
49,0.4561,0.8837
50,0.4615,0.5294
51,0.5920,0.7358
52,0.5882,0.5400
53,0.5323,0.6571
54,0.4000,0.6429
55,0.2692,0.5714
56,0.7015,0.7912
57,0.7291,0.7536
58,0.5556,0.5625
59,0.7023,0.7500
60,0.6512,0.8308
61,0.6703,0.7313
62,0.4568,0.7059
63,0.6614,0.7458
64,0.3673,0.8906
65,0.5115,0.8384
66,0.6846,0.8293
67,0.5532,0.7209
68,0.6080,0.5517
69,0.5735,0.7708
70,0.4757,0.7162
71,0.5500,0.8868
72,0.5714,0.7083
73,0.6190,0.6786
74,0.8227,0.9783
75,0.6364,0.9167
76,0.3851,0.6042
77,0.6600,0.7232
78,0.6244,0.8780
79,0.5789,0.8846
80,0.5930,0.7556
81,0.3146,0.6897
82,0.4324,0.7593
83,0.4000,0.9200
84,0.4539,0.7321
85,0.4409,0.7714
86,0.5101,0.4828
87,0.5965,0.9412
88,0.6000,0.7636
89,0.5251,0.6607
90,0.6014,0.8500
91,0.5270,0.8636
92,0.6466,0.8261
93,0.5854,0.8222
94,0.6795,0.7705
95,0.6174,0.6825
96,0.5714,0.7246
97,0.6882,0.8108
98,0.6552,0.7179
99,0.6259,0.7805
100,0.3676,0.4694
101,0.5702,0.7143
102,0.6222,0.7297
103,0.5036,0.5577
104,0.5765,0.5741
105,0.3562,0.5185
106,0.5324,0.8333
107,0.5811,0.6667
108,0.5734,0.7250
109,0.7329,0.8000
110,0.6815,0.6964
111,0.5588,0.8276
112,0.6599,0.6765
113,0.6102,0.7778
114,0.6261,0.7400
115,0.5520,0.7429
116,0.7237,0.8478
117,0.6497,0.8163
118,0.7209,0.8205
119,0.5263,0.5862
120,0.5875,0.6875
121,0.7500,0.6667
122,0.4000,0.3636
123,0.4646,0.6154
124,0.7981,0.9394
125,0.5170,0.6585
126,0.4074,0.6216
127,0.6454,0.8202
128,0.5102,0.3095
129,0.5373,0.8846
130,0.6667,0.8182
131,0.6667,0.7808
132,0.4478,0.7222
133,0.5789,0.7907
134,0.5316,0.4286
135,0.3471,0.4375
136,0.5969,0.7255
137,0.5070,0.8140
138,0.4000,0.5000
139,0.6914,0.8276
140,0.6087,0.7344
141,0.4156,0.6944
142,0.4930,0.8767
143,0.6822,0.7818
144,0.5591,0.7500
145,0.5747,0.6000
146,0.4404,0.7179
147,0.4837,0.7174
148,0.6127,0.7600
149,0.8000,0.8947
150,0.6154,0.7143
151,0.4865,0.7317
152,0.6573,0.8000
153,0.5263,0.7742
154,0.5039,0.8163
155,0.2817,0.5294
156,0.6467,0.7761
157,0.6104,0.6111
158,0.6797,0.7586
159,0.5714,0.8085
160,0.4874,0.6939
161,0.6203,0.8571
162,0.5138,0.7111
163,0.7368,0.7778
164,0.5312,0.8500
165,0.5070,0.4138
166,0.6207,0.8143
167,0.5658,0.8049
168,0.3874,0.8125
169,0.3063,0.6552
170,0.3077,1.0000
171,0.2500,0.8966
172,0.4091,0.5385
173,0.4731,0.7692
174,0.5000,0.9200
175,0.6522,0.6226
176,0.5679,0.6667
177,0.6526,0.7246
178,0.7363,0.7324
179,0.3030,0.2778
180,0.5412,0.7848
181,0.5000,0.7143
182,0.5667,0.6905
183,0.5605,0.7812
184,0.5217,0.8182
185,0.5979,0.6286
186,0.5405,0.7407
187,0.4079,0.6571
188,0.7261,0.7843
189,0.6992,0.8571
190,0.5652,0.6522
191,0.4533,0.6042
192,0.6067,0.5833
193,0.7294,0.8133
194,0.5344,0.5833
195,0.3875,0.8333
196,0.7742,0.6000
197,0.5244,0.5634
198,0.4478,0.7761
199,0.4841,0.7797
