sample_idx,token_f1,faithfulness
0,0.2273,1.0000
1,0.1358,0.6923
2,0.1304,1.0000
3,0.2956,0.7436
4,0.1895,0.8889
5,0.5238,0.7941
6,0.3780,0.7429
7,0.2200,0.7273
8,0.4545,0.6400
9,0.4459,0.8571
10,0.1188,0.8333
11,0.4318,0.8889
12,0.5532,1.0000
13,0.2338,0.9000
14,0.2200,0.4615
15,0.1237,0.8571
16,0.2675,0.5893
17,0.2330,0.9167
18,0.2564,0.8000
19,0.3614,0.9412
20,0.1495,0.5455
21,0.1667,0.8000
22,0.1386,0.5714
23,0.2188,1.0000
24,0.3378,0.7879
25,0.0652,0.5000
26,0.2250,0.5000
27,0.3871,0.8824
28,0.2609,0.7000
29,0.4536,0.7273
30,0.1200,0.7000
31,0.2478,0.7059
32,0.2286,0.8571
33,0.5397,0.6667
34,0.2735,0.7500
35,0.6311,0.8088
36,0.0723,1.0000
37,0.2169,0.4545
38,0.2775,0.7297
39,0.4444,0.6452
40,0.1000,1.0000
41,0.2182,0.7778
42,0.3158,0.7778
43,0.3221,0.9643
44,0.2250,0.8889
45,0.2857,0.9286
46,0.3380,0.9231
47,0.2236,0.8182
48,0.1404,0.4000
49,0.1449,1.0000
50,0.1359,0.8750
51,0.1935,1.0000
52,0.1622,0.7778
53,0.3208,0.7500
54,0.1860,0.8333
55,0.2692,0.5714
56,0.1379,0.9231
57,0.1391,1.0000
58,0.4000,0.5714
59,0.3373,0.7368
60,0.0593,0.8000
61,0.1441,1.0000
62,0.1143,1.0000
63,0.2388,0.8182
64,0.2093,0.6667
65,0.3897,0.9077
66,0.2316,0.8000
67,0.2500,0.4706
68,0.7191,0.6667
69,0.4870,0.8065
70,0.2388,0.8261
71,0.3301,1.0000
72,0.3830,0.8182
73,0.4932,0.8095
74,0.1647,1.0000
75,0.4889,1.0000
76,0.1849,0.6111
77,0.1351,0.8000
78,0.2314,0.7692
79,0.4706,0.7895
80,0.2500,0.8571
81,0.1169,0.7273
82,0.1774,0.7143
83,0.2424,0.6429
84,0.1714,0.8750
85,0.1333,0.6250
86,0.2444,0.8182
87,0.4255,0.6923
88,0.1739,0.8182
89,0.1345,0.4706
90,0.1682,1.0000
91,0.1212,1.0000
92,0.5283,0.8000
93,0.1515,0.7778
94,0.2716,0.3636
95,0.3590,1.0000
96,0.3101,0.6087
97,0.5091,0.9167
98,0.2933,0.8000
99,0.2500,0.9167
100,0.1728,1.0000
101,0.1200,0.7778
102,0.3607,0.7333
103,0.4130,1.0000
104,0.1296,1.0000
105,0.2571,0.4000
106,0.2222,0.8182
107,0.2474,0.8182
108,0.1818,0.9091
109,0.2955,0.7857
110,0.1867,0.8889
111,0.2917,0.8333
112,0.2556,0.6500
113,0.1880,0.7333
114,0.3810,1.0000
115,0.1806,0.6957
116,0.5167,0.8824
117,0.2523,0.8750
118,0.3478,1.0000
119,0.6190,0.6316
120,0.3333,0.4737
121,0.3478,0.7692
122,0.2645,0.4359
123,0.2105,0.8889
124,0.2523,1.0000
125,0.1400,1.0000
126,0.3125,0.8750
127,0.1151,1.0000
128,0.3774,1.0000
129,0.4954,0.8929
130,0.3462,0.8000
131,0.3091,0.8500
132,0.3099,0.9091
133,0.3678,0.9500
134,0.2476,0.5500
135,0.1212,1.0000
136,0.2037,0.8889
137,0.2424,0.6429
138,0.1316,1.0000
139,0.6988,0.8000
140,0.1192,0.8000
141,0.2041,1.0000
142,0.2308,0.7778
143,0.0952,0.6000
144,0.3134,0.9000
145,0.3607,0.6000
146,0.3725,0.8182
147,0.2075,0.6923
148,0.2278,0.8889
149,0.4082,0.9524
150,0.2295,0.8750
151,0.3220,0.7083
152,0.2469,0.8000
153,0.2619,0.8182
154,0.1159,0.5000
155,0.4127,0.3214
156,0.2947,0.6667
157,0.0879,0.7143
158,0.2268,0.5000
159,0.3291,0.8947
160,0.4554,0.6111
161,0.1584,1.0000
162,0.2745,1.0000
163,0.3619,0.7826
164,0.2474,0.8462
165,0.6429,0.7368
166,0.1682,0.8889
167,0.1754,0.8462
168,0.1447,0.7143
169,0.1412,1.0000
170,0.2162,0.8000
171,0.4167,0.7143
172,0.2703,0.7500
173,0.4235,0.7895
174,0.4000,0.7778
175,0.3333,0.8750
176,0.1802,0.8182
177,0.2883,0.7647
178,0.3077,0.6923
179,0.4222,0.7143
180,0.0671,0.6000
181,0.2857,0.6154
182,0.3171,0.6154
183,0.3966,0.8065
184,0.2034,0.8333
185,0.2687,0.8000
186,0.2000,0.7143
187,0.3310,0.7308
188,0.3704,1.0000
189,0.4421,1.0000
190,0.2535,1.0000
191,0.3206,0.4839
192,0.4444,0.6429
193,0.2143,0.8095
194,0.2626,0.6000
195,0.2542,0.8000
196,0.3571,0.7500
197,0.3308,0.7308
198,0.2581,1.0000
199,0.2824,0.6429
