sample_idx,token_f1,faithfulness
0,0.4553,1.0000
1,0.8696,0.8947
2,0.2930,1.0000
3,0.2314,0.5875
4,0.1461,1.0000
5,0.3892,1.0000
6,0.2941,0.8333
7,0.5222,1.0000
8,0.1560,1.0000
9,1.0000,0.9333
10,0.3023,0.9383
11,0.6829,1.0000
12,0.2000,0.9231
13,0.3886,1.0000
14,0.4025,0.3500
15,0.3709,1.0000
16,0.8889,0.5000
17,0.4038,0.9048
18,0.4737,1.0000
19,0.6697,0.9241
20,0.8462,1.0000
21,0.5741,0.9070
22,0.4000,1.0000
23,0.2105,1.0000
24,0.9167,1.0000
25,0.9333,0.9474
26,0.6957,0.9231
27,0.2623,0.3846
28,0.2564,0.4375
29,1.0000,1.0000
30,0.7692,1.0000
31,0.4634,1.0000
32,0.2063,1.0000
33,0.7755,0.8696
34,0.4056,1.0000
35,0.7692,0.7333
36,0.3981,0.9200
37,0.3945,1.0000
38,0.3619,1.0000
39,0.5800,1.0000
40,0.3256,1.0000
41,0.2381,1.0000
42,0.8304,0.9595
43,0.0706,1.0000
44,0.3293,1.0000
45,0.5000,0.7778
46,0.3158,1.0000
47,0.6825,0.9863
48,0.5366,0.3710
49,0.5240,1.0000
50,0.8235,1.0000
51,0.5161,0.5294
52,0.5600,1.0000
53,0.2479,1.0000
54,0.3922,1.0000
55,0.2800,0.8689
56,1.0000,1.0000
57,0.4147,1.0000
58,0.5581,1.0000
59,0.3784,1.0000
60,0.6194,1.0000
61,0.8174,1.0000
62,0.7013,1.0000
63,0.5636,1.0000
64,0.6588,0.8333
65,0.6207,0.8571
66,0.6098,1.0000
67,0.3717,1.0000
68,0.1935,0.9821
69,0.5316,1.0000
70,0.1947,0.8667
71,0.2615,1.0000
72,0.3146,1.0000
73,1.0000,1.0000
74,0.1839,1.0000
75,0.5385,0.8333
76,0.4643,1.0000
77,0.4516,0.8750
78,0.3130,1.0000
79,0.1720,0.7455
80,0.7727,1.0000
81,0.7475,1.0000
82,0.1639,1.0000
83,0.4478,1.0000
84,0.6552,0.8846
85,0.4545,1.0000
86,0.6377,0.9688
87,0.5690,0.8049
88,1.0000,1.0000
89,0.6667,0.9333
90,0.4516,0.5556
91,0.5797,0.7059
92,0.4842,1.0000
93,0.2778,0.7143
94,0.1830,0.9359
95,0.1765,0.0117
96,0.6131,1.0000
97,0.7547,0.8571
98,0.4828,0.8667
99,0.4480,1.0000
100,0.7647,1.0000
101,0.2430,1.0000
102,0.4412,0.6667
103,0.3221,0.9130
104,0.3208,1.0000
105,0.1468,1.0000
106,0.6458,1.0000
107,0.4000,1.0000
108,0.5487,1.0000
109,0.9091,1.0000
110,0.4444,0.5385
111,0.2703,0.9259
112,0.6277,0.8864
113,0.2617,1.0000
114,0.4898,0.9231
115,0.7273,1.0000
116,0.6061,0.7391
117,0.1000,1.0000
118,0.4697,1.0000
119,0.3448,1.0000
120,0.6299,1.0000
121,0.3652,1.0000
122,0.2177,1.0000
123,0.3571,0.8000
124,0.1818,0.8333
125,0.3218,0.8235
126,1.0000,1.0000
127,0.5246,1.0000
128,0.3146,0.9474
129,0.4225,0.8222
130,0.2632,0.9474
131,0.5567,0.9630
132,0.4444,0.9000
133,0.9831,1.0000
134,0.2000,1.0000
135,0.7368,1.0000
136,0.2857,0.9583
137,0.6897,0.8000
138,0.3444,0.8654
139,0.8163,1.0000
140,0.2058,1.0000
141,0.3306,1.0000
142,0.4706,0.8889
143,0.3101,1.0000
144,0.5676,1.0000
145,0.3077,1.0000
146,0.7234,0.8947
147,0.8913,0.9853
148,0.6486,0.9231
149,0.4848,0.7778
150,0.0541,1.0000
151,0.3889,0.8000
152,0.1081,1.0000
153,0.8158,1.0000
154,0.9710,0.9928
155,0.2345,1.0000
156,0.2769,1.0000
157,0.9750,0.9722
158,0.7647,1.0000
159,0.6587,1.0000
160,0.2353,0.8824
161,0.5205,0.6667
162,0.4894,1.0000
163,0.7273,1.0000
164,0.4143,1.0000
165,0.7458,0.7941
166,0.5731,0.9383
167,0.8627,0.6296
168,0.2316,0.8864
169,0.9834,1.0000
170,0.5057,1.0000
171,0.7500,1.0000
172,0.5652,1.0000
173,0.8393,1.0000
174,0.2727,1.0000
175,0.2632,1.0000
176,0.8276,1.0000
177,0.5902,1.0000
178,0.5043,1.0000
179,0.4286,1.0000
180,0.4000,0.6364
181,0.6316,1.0000
182,0.7692,1.0000
183,0.6818,1.0000
184,0.6667,0.9412
185,0.1905,1.0000
186,0.3441,0.7400
187,0.9091,1.0000
188,0.8988,1.0000
189,0.5747,1.0000
190,0.6667,0.9333
191,0.9870,0.9821
192,0.5044,1.0000
193,0.2857,0.7895
194,1.0000,1.0000
195,0.8148,1.0000
196,0.1193,1.0000
197,0.6250,0.8333
198,0.8182,1.0000
199,0.8667,1.0000
