sample_idx,token_f1,faithfulness
0,0.5500,0.9167
1,0.6800,0.8000
2,0.1687,0.8696
3,0.3043,0.5385
4,0.0383,1.0000
5,0.0521,0.8571
6,0.4078,0.4792
7,0.6370,0.9310
8,0.0468,1.0000
9,1.0000,0.9333
10,0.2802,0.7426
11,0.6207,0.9231
12,0.4054,0.6047
13,0.6067,0.8333
14,0.1616,0.8889
15,0.5217,0.9167
16,0.7059,0.3529
17,0.3915,0.8592
18,0.2887,0.3922
19,0.4596,0.6818
20,0.6000,0.9091
21,0.4486,0.6800
22,0.2683,0.6923
23,0.2791,0.9500
24,0.5641,0.6667
25,0.5263,0.5588
26,0.4806,0.6292
27,0.4127,0.6667
28,0.1579,0.2778
29,0.2917,1.0000
30,0.7692,1.0000
31,0.2796,0.8667
32,0.1143,0.7353
33,0.7755,0.8696
34,0.7843,1.0000
35,0.7692,0.7333
36,0.4909,0.7119
37,0.5354,0.8235
38,0.3787,0.9011
39,0.4585,0.8431
40,0.4310,0.9038
41,0.3165,0.8500
42,0.7500,0.8630
43,0.5294,0.8919
44,0.6167,0.9000
45,0.3611,0.7308
46,0.5000,0.9091
47,0.2041,0.8333
48,0.2062,1.0000
49,0.5000,0.7368
50,0.6383,0.7273
51,0.5000,0.5000
52,0.5600,1.0000
53,0.5789,0.9231
54,0.5143,0.7500
55,0.2593,0.5714
56,1.0000,1.0000
57,0.5607,0.8810
58,0.7179,0.8235
59,0.3784,1.0000
60,0.3008,0.7917
61,0.5055,1.0000
62,0.6753,0.9600
63,0.5180,0.9444
64,0.4959,0.5357
65,0.6897,0.8571
66,0.6098,1.0000
67,0.4248,0.9130
68,0.6000,0.8333
69,0.5352,0.9714
70,0.2276,0.7917
71,0.2162,0.3636
72,0.2319,0.7209
73,0.6038,0.7692
74,0.5185,1.0000
75,0.4138,0.6000
76,0.3871,0.6750
77,0.4516,0.8750
78,0.3117,0.5532
79,0.1513,0.4138
80,0.7778,0.5000
81,0.6000,0.8846
82,0.2059,0.9024
83,0.2963,0.8824
84,0.3404,0.4423
85,0.5000,1.0000
86,0.5243,0.8367
87,0.6119,0.6557
88,0.1059,1.0000
89,0.6415,0.7826
90,0.5714,0.8333
91,0.5161,0.5926
92,0.5833,0.6190
93,0.6486,0.8824
94,0.2745,1.0000
95,0.2222,0.1500
96,0.3333,0.7857
97,0.5238,0.7500
98,0.1837,0.6984
99,0.3610,0.3182
100,0.8000,0.8824
101,0.5806,1.0000
102,0.4898,0.8235
103,0.2874,0.4474
104,0.2619,0.9000
105,0.4889,1.0000
106,0.3218,0.4706
107,0.5000,0.9167
108,0.7619,0.7931
109,0.6640,0.7222
110,0.5161,0.3750
111,0.1546,0.7500
112,0.4107,0.8214
113,0.8750,1.0000
114,0.1882,0.6364
115,0.4845,0.5405
116,0.5846,0.7273
117,0.3415,0.5238
118,0.3265,1.0000
119,0.5854,0.5000
120,0.5556,0.8000
121,0.3178,0.8750
122,0.5306,0.6250
123,0.3571,0.8000
124,0.1633,0.5517
125,0.5185,0.8710
126,0.8000,0.8140
127,0.7778,0.9655
128,0.2857,0.9000
129,0.3619,0.7200
130,0.3548,0.6842
131,0.5000,0.8421
132,0.6667,0.9375
133,0.8529,0.8125
134,0.1667,0.9231
135,0.6230,0.8000
136,0.3922,0.6842
137,0.7222,0.8889
138,0.4805,0.7971
139,0.7907,0.9000
140,0.1709,0.7059
141,0.4615,1.0000
142,0.4706,0.8889
143,0.4000,0.4615
144,0.5000,0.8974
145,0.2927,0.6512
146,0.8636,0.8125
147,0.3022,0.5588
148,0.5490,0.7273
149,0.3611,0.6098
150,0.2857,0.7568
151,0.4231,0.7115
152,0.0488,0.8571
153,0.4364,0.3419
154,0.1678,0.6364
155,0.2286,1.0000
156,0.3833,0.7736
157,0.9524,0.8718
158,0.4242,1.0000
159,0.4340,0.7857
160,0.2712,0.9211
161,0.6032,0.7895
162,0.3836,0.6957
163,0.1644,0.9231
164,0.3072,0.7688
165,0.4112,0.7465
166,0.4380,0.7069
167,0.7541,0.5278
168,0.1875,0.5823
169,0.6207,0.8022
170,0.5063,0.7391
171,0.7500,1.0000
172,0.5185,0.6923
173,0.6929,0.7857
174,0.2353,0.8333
175,0.2338,0.8780
176,0.7179,0.6522
177,0.4211,0.8235
178,0.3607,1.0000
179,0.8571,0.9167
180,0.4667,0.5625
181,0.3932,0.7719
182,0.7317,0.7857
183,0.5490,0.7368
184,0.6429,0.9333
185,0.2951,0.7647
186,0.3721,0.7333
187,0.8800,0.9167
188,0.8235,0.9610
189,0.5556,0.9500
190,0.7222,0.8667
191,0.4179,0.4762
192,0.2899,1.0000
193,0.2963,0.7500
194,0.5729,0.7541
195,0.1606,0.6977
196,0.7500,0.8214
197,0.6250,0.8333
198,0.6218,0.6552
199,0.7333,0.8182
