sample_idx,token_f1,faithfulness
0,0.9176,0.7879
1,1.0000,1.0000
2,0.8923,0.8889
3,0.9841,1.0000
4,0.6536,1.0000
5,1.0000,1.0000
6,0.7974,0.7963
7,0.8148,1.0000
8,0.6486,0.9091
9,0.4138,1.0000
10,0.6542,0.9556
11,1.0000,1.0000
12,1.0000,1.0000
13,0.8696,0.8000
14,0.9014,1.0000
15,0.7077,0.7778
16,0.4211,0.2778
17,0.9474,0.9167
18,1.0000,0.7500
19,0.5424,0.9231
20,0.6905,1.0000
21,0.8421,1.0000
22,1.0000,0.9048
23,1.0000,0.9474
24,1.0000,0.9375
25,0.9903,1.0000
26,1.0000,1.0000
27,0.4324,0.9091
28,0.7164,0.6000
29,0.6966,0.8500
30,0.6667,1.0000
31,0.6767,0.8400
32,0.8889,1.0000
33,0.3810,0.6154
34,1.0000,0.9412
35,0.6358,0.9333
36,1.0000,0.8571
37,0.5039,0.9583
38,0.9655,0.8667
39,0.5962,0.8438
40,0.7000,0.8462
41,0.7952,0.8514
42,1.0000,1.0000
43,1.0000,0.9524
44,0.7222,0.9600
45,0.8663,0.9688
46,0.8598,0.9429
47,1.0000,0.8333
48,0.4167,0.6923
49,0.9231,0.9091
50,1.0000,0.9231
51,1.0000,0.7500
52,0.6753,0.8462
53,0.8889,1.0000
54,0.9538,1.0000
55,1.0000,0.8571
56,1.0000,0.8750
57,0.8807,0.9423
58,0.7532,0.9524
59,0.6466,0.9531
60,0.9494,1.0000
61,0.8000,0.9048
62,1.0000,1.0000
63,0.8936,0.8974
64,0.5946,0.9583
65,0.9517,1.0000
66,0.6567,0.7667
67,1.0000,1.0000
68,1.0000,0.6000
69,0.7059,1.0000
70,0.6916,0.9643
71,0.5000,1.0000
72,0.6364,1.0000
73,0.7692,0.3636
74,0.6400,0.8462
75,1.0000,0.8947
76,0.5294,0.8333
77,1.0000,0.9286
78,0.6512,0.9412
79,0.8031,0.7959
80,0.4906,0.5778
81,0.5714,1.0000
82,0.9123,1.0000
83,1.0000,0.9000
84,0.9630,0.7692
85,0.5846,0.9800
86,0.7857,0.8636
87,1.0000,0.9091
88,0.8947,0.8421
89,0.8000,0.9741
90,0.6341,0.9630
91,1.0000,1.0000
92,0.6610,0.7963
93,1.0000,1.0000
94,0.6591,0.9000
95,1.0000,0.7000
96,0.9524,0.8214
97,0.8889,0.8667
98,1.0000,1.0000
99,1.0000,0.8000
100,0.6231,0.9494
101,0.8308,0.7917
102,0.5873,0.9189
103,0.5385,0.6667
104,0.5909,0.9853
105,1.0000,0.8750
106,0.6471,0.8000
107,0.8182,0.9091
108,0.9933,0.9000
109,0.7000,0.9667
110,0.6027,0.7647
111,0.7013,0.8710
112,0.5143,0.7059
113,0.7500,0.9333
114,1.0000,1.0000
115,1.0000,0.9412
116,1.0000,0.9545
117,0.8000,0.9111
118,0.6842,0.8462
119,0.6923,0.9062
120,1.0000,1.0000
121,0.5785,0.8542
122,1.0000,0.6111
123,0.6118,0.9615
124,1.0000,1.0000
125,0.8333,1.0000
126,0.9565,1.0000
127,0.4752,0.9024
128,1.0000,0.8667
129,0.7407,0.8387
130,0.9259,0.9600
131,1.0000,0.9286
132,0.9444,0.9375
133,1.0000,1.0000
134,0.6483,0.8085
135,0.1481,0.9375
136,0.7194,0.8704
137,0.6400,0.7333
138,0.8571,0.9167
139,0.5227,0.8261
140,0.6202,0.9302
141,0.7778,0.8800
142,0.6957,1.0000
143,1.0000,1.0000
144,0.5366,0.9655
145,0.3333,0.6429
146,1.0000,0.9167
147,1.0000,0.9167
148,0.6500,1.0000
149,0.7018,1.0000
150,0.6154,1.0000
151,1.0000,1.0000
152,1.0000,1.0000
153,0.9787,0.9737
154,0.9153,1.0000
155,0.6050,0.7174
156,0.6027,0.7826
157,0.6875,0.8947
158,0.7500,0.7857
159,0.4528,0.9000
160,1.0000,0.7273
161,0.6531,0.9412
162,0.9455,0.9492
163,0.9091,0.9333
164,0.6053,0.8548
165,0.8864,0.9714
166,0.9091,0.9167
167,0.4324,0.8400
168,0.7778,0.9200
169,0.9767,1.0000
170,1.0000,0.6000
171,0.7222,0.6875
172,0.7143,0.6667
173,0.2500,0.8571
174,1.0000,1.0000
175,0.9697,1.0000
176,0.9500,0.9412
177,0.9697,0.8667
178,0.9552,0.9643
179,1.0000,1.0000
180,0.8372,0.9706
181,0.7742,0.8889
182,0.8485,0.6000
183,1.0000,1.0000
184,1.0000,1.0000
185,0.8261,0.9091
186,1.0000,0.8750
187,0.8571,0.9375
188,0.4474,1.0000
189,0.6813,0.8571
190,1.0000,0.8750
191,0.7059,0.9643
192,0.5965,0.6786
193,1.0000,1.0000
194,0.4667,0.9558
195,0.6567,1.0000
196,1.0000,1.0000
197,0.3265,0.8125
198,0.7193,0.9667
199,1.0000,1.0000
