sample_idx,token_f1,faithfulness
0,0.5359,0.6429
1,1.0000,1.0000
2,0.8387,0.9200
3,0.5714,0.9149
4,0.6667,0.9400
5,1.0000,1.0000
6,0.3205,0.8000
7,1.0000,1.0000
8,0.3692,0.5000
9,0.3284,0.8889
10,0.6972,0.8444
11,0.4681,0.8519
12,0.7179,0.9524
13,0.8696,0.8000
14,0.8767,1.0000
15,0.3158,0.6389
16,0.3956,0.7931
17,0.8421,0.9167
18,1.0000,0.7500
19,0.5521,0.9156
20,0.9143,0.9667
21,0.5455,0.7692
22,0.8462,0.8400
23,0.2436,0.7500
24,0.9143,0.8333
25,0.5745,0.7353
26,0.6818,0.9200
27,0.3667,0.8718
28,0.4808,0.3636
29,0.6667,0.6857
30,0.5455,0.8750
31,0.6061,0.8980
32,0.8889,1.0000
33,0.4842,0.6522
34,1.0000,0.9412
35,0.2330,0.9333
36,0.7879,0.7222
37,0.3942,0.7083
38,0.8966,0.8000
39,0.2454,0.4595
40,0.6667,0.7143
41,0.4684,0.7895
42,1.0000,1.0000
43,0.8302,0.7586
44,0.2389,0.6842
45,0.6991,0.8523
46,0.7757,0.8182
47,1.0000,0.8333
48,0.4167,0.6190
49,0.9231,0.9091
50,0.7222,0.7500
51,1.0000,0.7500
52,0.5867,0.7692
53,0.7097,0.9310
54,0.9375,0.9375
55,0.3429,0.8864
56,0.6957,0.6429
57,0.7419,0.7761
58,0.4368,0.6250
59,0.2614,0.6493
60,0.8772,0.8605
61,0.9552,0.9091
62,1.0000,1.0000
63,0.7907,0.8857
64,0.2821,0.8958
65,0.5550,0.7529
66,0.4308,0.7333
67,1.0000,1.0000
68,0.2500,0.4107
69,0.6190,1.0000
70,0.4126,0.7158
71,0.5000,1.0000
72,0.5000,1.0000
73,0.1905,0.1622
74,0.6923,0.7857
75,0.3793,0.7059
76,0.3125,0.5128
77,0.6341,0.8800
78,0.7179,0.9231
79,0.4912,0.7000
80,0.3117,0.4486
81,0.6598,0.7857
82,0.5970,0.7273
83,0.8889,1.0000
84,0.0488,0.3043
85,0.4615,0.8111
86,0.5484,0.6329
87,0.6897,0.8824
88,0.8947,0.8947
89,0.6836,0.8559
90,0.3768,0.7463
91,1.0000,1.0000
92,0.3976,0.5952
93,0.8710,0.9615
94,0.6731,0.8627
95,1.0000,0.7000
96,0.3750,0.6962
97,0.8000,0.8235
98,0.7568,0.9500
99,0.8085,0.7407
100,0.6358,0.8644
101,0.6042,0.7292
102,0.3831,0.9306
103,0.5385,0.6667
104,0.4923,0.6667
105,1.0000,0.8750
106,0.6471,0.8667
107,0.8571,0.8400
108,0.7975,0.7361
109,0.4071,0.8077
110,0.3521,0.7744
111,0.5294,0.8837
112,0.3424,0.7154
113,0.4737,0.8333
114,1.0000,1.0000
115,1.0000,0.9412
116,0.7797,0.7857
117,0.4424,0.7373
118,0.6829,0.8750
119,0.6275,0.9062
120,0.6747,0.7436
121,0.3463,0.7820
122,0.9474,0.5500
123,0.4375,0.8571
124,0.9565,1.0000
125,1.0000,1.0000
126,0.5352,0.7027
127,0.3913,0.7667
128,0.8750,0.8000
129,0.7519,0.8302
130,0.4685,0.5763
131,0.9231,0.9167
132,0.8649,0.9412
133,0.9275,0.9286
134,0.7701,0.8676
135,0.3051,0.7429
136,0.4667,0.8522
137,1.0000,0.7500
138,0.7407,0.8182
139,0.3952,0.6814
140,0.5970,0.7442
141,0.7547,0.8400
142,0.4286,0.7143
143,0.5517,0.8750
144,0.5366,0.9655
145,0.2295,0.6087
146,0.9600,0.9231
147,1.0000,0.9167
148,0.3265,0.6977
149,0.5361,0.6889
150,0.6377,0.8000
151,0.7778,0.7273
152,1.0000,1.0000
153,0.7179,0.9615
154,0.8387,0.9655
155,0.5690,0.5208
156,0.5000,0.7941
157,0.8182,0.9000
158,0.3913,0.6562
159,0.7059,0.8721
160,0.9091,0.6364
161,0.6400,0.7895
162,0.6542,0.7374
163,0.1441,0.5273
164,0.5732,0.7077
165,0.3562,0.8511
166,0.9091,0.9167
167,0.3684,0.6800
168,0.9355,0.9375
169,0.3462,1.0000
170,1.0000,0.6000
171,0.7000,0.7368
172,0.7143,0.6667
173,0.2500,0.8571
174,0.5625,0.8824
175,0.1702,0.5385
176,0.1794,0.5304
177,1.0000,0.8125
178,0.8788,0.9286
179,0.7500,0.8947
180,0.4967,0.8736
181,0.7742,0.8889
182,0.8235,0.5625
183,1.0000,1.0000
184,1.0000,1.0000
185,0.8261,0.9091
186,0.9189,0.8333
187,0.7179,0.8421
188,0.5055,0.8387
189,0.3070,0.5604
190,0.9189,0.8947
191,0.5540,0.8842
192,0.4524,0.5957
193,1.0000,1.0000
194,0.2850,0.7529
195,0.5977,0.8000
196,0.8000,0.7500
197,0.1951,0.7333
198,0.6338,0.8333
199,1.0000,1.0000
