sample_idx,token_f1,faithfulness
0,0.2609,0.8889
1,0.3902,0.7250
2,0.2177,0.8824
3,0.4563,0.8085
4,0.8261,0.8143
5,0.7044,0.8983
6,0.3971,0.6047
7,0.6125,0.6667
8,0.6230,0.6000
9,0.4949,0.7536
10,0.1553,0.7500
11,0.6483,0.8750
12,0.5714,0.7436
13,0.5094,0.6452
14,0.3876,0.4857
15,0.4523,0.7671
16,0.4516,0.5962
17,0.6375,0.6154
18,0.6531,0.7049
19,0.5882,0.9054
20,0.6494,0.7800
21,0.5352,0.6522
22,0.5026,0.7681
23,0.6304,0.8387
24,0.5385,0.8841
25,0.6277,0.6500
26,0.4769,0.6000
27,0.3516,0.8750
28,0.5765,0.8718
29,0.7115,0.8333
30,0.5487,0.7286
31,0.3597,0.5833
32,0.7558,0.7321
33,0.6087,0.6136
34,0.5668,0.7000
35,0.6729,0.8590
36,0.5915,0.6939
37,0.6197,0.7037
38,0.6443,0.8485
39,0.5000,0.5333
40,0.4370,0.4255
41,0.4634,0.6207
42,0.3750,0.3571
43,0.5058,0.7826
44,0.5841,0.7632
45,0.5833,0.7679
46,0.4944,0.8889
47,0.6087,0.7470
48,0.5000,0.7969
49,0.4909,0.7436
50,0.6834,0.7838
51,0.5812,0.8000
52,0.4528,0.6596
53,0.5289,0.7576
54,0.6234,0.4906
55,0.3333,0.6667
56,0.6646,0.8488
57,0.6497,0.7000
58,0.6316,0.5556
59,0.6667,0.7975
60,0.7490,0.8052
61,0.7870,1.0000
62,0.5474,0.7324
63,0.7143,0.7708
64,0.4503,0.8955
65,0.6345,0.9302
66,0.6767,0.7073
67,0.4202,0.7544
68,0.7573,0.6341
69,0.6011,0.8919
70,0.6449,0.8642
71,0.5444,0.8507
72,0.6024,0.7250
73,0.5849,0.7179
74,0.8228,0.9298
75,0.6364,0.8519
76,0.3372,0.6552
77,0.6776,0.8087
78,0.6423,0.9222
79,0.7184,0.8095
80,0.5165,0.7895
81,0.2905,0.6364
82,0.3828,0.7500
83,0.5419,0.7544
84,0.5981,0.6757
85,0.3248,0.5385
86,0.4337,0.5161
87,0.4186,1.0000
88,0.4031,0.5278
89,0.6067,0.8103
90,0.6497,0.7826
91,0.5405,0.8605
92,0.6944,0.7778
93,0.5693,0.9362
94,0.5932,0.8824
95,0.6522,0.6727
96,0.3556,0.5273
97,0.5872,0.7500
98,0.5248,0.7407
99,0.7083,0.8140
100,0.6386,0.6308
101,0.5961,0.8571
102,0.5652,0.8500
103,0.5000,0.8333
104,0.7282,0.6753
105,0.4595,0.5172
106,0.5593,0.8913
107,0.5645,0.8049
108,0.6795,0.7959
109,0.5652,0.4762
110,0.6815,0.7193
111,0.5946,0.8529
112,0.5918,0.6418
113,0.6310,0.8605
114,0.5636,0.7292
115,0.6902,0.7717
116,0.6588,0.8197
117,0.4024,0.4483
118,0.6522,0.8537
119,0.5000,0.7500
120,0.6338,0.7692
121,0.5345,0.7619
122,0.5135,0.6190
123,0.6111,0.7660
124,0.8211,0.9825
125,0.5309,0.6415
126,0.5872,0.4865
127,0.5551,0.8816
128,0.4854,0.5111
129,0.4626,0.7273
130,0.5429,0.6957
131,0.6590,0.8209
132,0.5735,0.6078
133,0.6154,0.8438
134,0.4533,0.4894
135,0.4259,0.5278
136,0.6008,0.7579
137,0.5693,0.7500
138,0.2727,0.4400
139,0.7143,0.8065
140,0.6525,0.7714
141,0.4938,0.6897
142,0.4154,0.7937
143,0.7167,0.7959
144,0.6392,0.7705
145,0.5794,0.6591
146,0.4182,0.6279
147,0.3145,0.3902
148,0.6849,0.7869
149,0.8322,0.9038
150,0.6034,0.6200
151,0.5541,0.7949
152,0.6871,0.7541
153,0.5581,0.6190
154,0.5524,0.7778
155,0.4889,0.6250
156,0.4769,0.6111
157,0.6753,0.8393
158,0.6131,0.7111
159,0.7805,0.8627
160,0.3810,0.5263
161,0.6264,0.9701
162,0.4000,0.6538
163,0.7296,0.6897
164,0.4677,0.7273
165,0.5079,0.6154
166,0.6602,0.7500
167,0.6816,0.9000
168,0.5022,0.8361
169,0.5536,0.9062
170,0.4545,1.0000
171,0.2316,0.8305
172,0.4317,0.5476
173,0.5283,0.6389
174,0.4583,0.7857
175,0.7852,0.8000
176,0.5848,0.6415
177,0.6632,0.7324
178,0.6230,0.7797
179,0.4200,0.7838
180,0.5586,0.8351
181,0.5128,0.7727
182,0.6197,0.6182
183,0.6506,0.8611
184,0.4324,0.8065
185,0.4737,0.5476
186,0.4752,0.7556
187,0.4884,0.6596
188,0.6946,0.8983
189,0.6783,0.9062
190,0.5528,0.4318
191,0.5227,0.5806
192,0.5526,0.6471
193,0.7348,0.8571
194,0.5000,0.8148
195,0.3597,0.8286
196,0.5455,0.5769
197,0.5702,0.7763
198,0.4132,0.3404
199,0.5693,0.7778
