sample_idx,token_f1,faithfulness
0,0.2609,0.8889
1,0.2458,0.7143
2,0.1304,0.9000
3,0.2857,0.7045
4,0.7412,0.7941
5,0.6795,0.8727
6,0.4276,0.6600
7,0.5070,0.5625
8,0.4444,0.5000
9,0.4920,0.8871
10,0.1176,0.6667
11,0.5424,0.8182
12,0.6122,0.8750
13,0.4235,0.7222
14,0.3788,0.7143
15,0.3627,0.4531
16,0.4744,0.6538
17,0.5588,0.8966
18,0.2564,0.8000
19,0.4259,0.9167
20,0.4031,0.5625
21,0.1667,0.6000
22,0.3360,0.6667
23,0.2188,1.0000
24,0.5213,0.6667
25,0.3478,0.6667
26,0.2078,0.6364
27,0.3871,0.8824
28,0.3014,0.6429
29,0.4706,0.8636
30,0.3455,0.7317
31,0.3089,0.5769
32,0.3784,0.8333
33,0.5039,0.6364
34,0.2735,0.7500
35,0.6698,0.7792
36,0.4103,0.6471
37,0.5865,0.6458
38,0.6119,0.7692
39,0.5000,0.5217
40,0.2609,0.8333
41,0.2581,1.0000
42,0.2857,0.8750
43,0.4949,0.8095
44,0.6667,0.8182
45,0.2857,0.9286
46,0.3714,1.0000
47,0.4264,0.6400
48,0.3750,0.7647
49,0.1449,1.0000
50,0.4160,0.6400
51,0.2632,0.4706
52,0.1636,0.8750
53,0.5246,0.7647
54,0.1905,1.0000
55,0.3333,0.6667
56,0.3936,0.7451
57,0.2899,0.6552
58,0.5333,1.0000
59,0.3364,0.4773
60,0.1493,0.7000
61,0.5068,0.8684
62,0.4645,0.9184
63,0.2727,0.8182
64,0.2093,0.6667
65,0.4264,0.7119
66,0.3833,0.6207
67,0.5610,0.6061
68,0.6538,0.5208
69,0.5455,0.7736
70,0.3333,0.7500
71,0.5522,0.7895
72,0.5122,0.4651
73,0.7033,0.7714
74,0.5321,0.8846
75,0.6984,0.9200
76,0.2252,0.6098
77,0.1646,0.5625
78,0.5500,0.6905
79,0.6667,0.9048
80,0.3145,0.8974
81,0.1184,0.8889
82,0.3226,0.6111
83,0.2474,0.7500
84,0.2254,0.7778
85,0.1364,0.8333
86,0.3689,0.5909
87,0.6250,0.8095
88,0.2174,0.7273
89,0.4000,0.5918
90,0.6258,0.8448
91,0.4593,0.7778
92,0.6218,0.6517
93,0.6200,0.8235
94,0.3922,0.6296
95,0.3902,0.8889
96,0.2500,0.4839
97,0.4746,0.8667
98,0.3373,0.7727
99,0.5984,0.7500
100,0.1728,1.0000
101,0.1325,0.7000
102,0.3505,0.3902
103,0.3962,0.6667
104,0.1441,0.8750
105,0.2222,0.3750
106,0.2222,0.8182
107,0.4706,0.7097
108,0.1616,0.8182
109,0.2955,0.7857
110,0.3721,0.8947
111,0.5479,0.7879
112,0.5938,0.6769
113,0.5467,0.7353
114,0.5500,0.7778
115,0.2500,0.7778
116,0.5882,0.7317
117,0.5263,0.9355
118,0.6552,1.0000
119,0.5000,0.8214
120,0.6154,0.7250
121,0.2936,0.4146
122,0.3667,0.7073
123,0.3404,0.6087
124,0.2523,1.0000
125,0.1400,1.0000
126,0.3125,0.8750
127,0.2875,0.9000
128,0.3774,1.0000
129,0.4737,0.7941
130,0.3462,0.8000
131,0.4308,0.8000
132,0.3099,0.9091
133,0.5913,0.8864
134,0.4966,0.4898
135,0.2250,0.5882
136,0.3016,0.7692
137,0.5419,0.8545
138,0.1316,0.8333
139,0.6374,0.6765
140,0.1325,0.8000
141,0.4865,0.6296
142,0.3729,0.6667
143,0.1587,0.6000
144,0.3974,0.6571
145,0.5227,0.5833
146,0.3551,0.7692
147,0.3275,0.4444
148,0.2278,0.8889
149,0.4490,1.0000
150,0.4494,0.6765
151,0.3968,0.9000
152,0.3960,0.7308
153,0.4038,0.6923
154,0.2821,0.7857
155,0.4912,0.7727
156,0.5455,0.5610
157,0.5352,0.7021
158,0.3158,0.5926
159,0.3171,0.7619
160,0.3830,0.4667
161,0.1748,1.0000
162,0.4706,0.8824
163,0.7229,0.6190
164,0.2292,0.9167
165,0.5965,0.7222
166,0.1682,0.8889
167,0.1754,0.8462
168,0.1718,1.0000
169,0.1591,0.9091
170,0.4706,0.8571
171,0.1739,0.6667
172,0.2931,0.6800
173,0.4565,0.7308
174,0.4719,0.8400
175,0.4167,0.8889
176,0.3597,0.4571
177,0.5455,0.7561
178,0.6000,0.7167
179,0.4355,0.3953
180,0.1299,0.8000
181,0.4118,0.8000
182,0.3820,0.6000
183,0.4762,0.7241
184,0.2333,0.8571
185,0.3514,0.8125
186,0.2000,0.7143
187,0.3444,0.6176
188,0.4762,0.7576
189,0.5893,0.8182
190,0.2535,1.0000
191,0.4194,0.8214
192,0.5897,0.6857
193,0.6397,0.7662
194,0.4464,0.8333
195,0.2833,0.9000
196,0.3704,0.7273
197,0.3259,0.5714
198,0.3590,0.3913
199,0.4466,0.7778
