sample_idx,token_f1,faithfulness
0,0.4553,1.0000
1,0.6341,0.8125
2,0.2930,1.0000
3,0.2921,0.6964
4,0.1461,1.0000
5,0.4149,1.0000
6,0.3492,0.8000
7,0.4786,1.0000
8,0.1053,1.0000
9,1.0000,0.9333
10,0.2857,0.9429
11,0.6829,1.0000
12,0.2991,0.7778
13,0.3886,1.0000
14,0.4054,0.3256
15,0.3709,1.0000
16,0.8889,0.5000
17,0.3974,0.8611
18,0.9130,1.0000
19,0.6446,0.9765
20,0.7407,0.8000
21,0.5053,0.9412
22,0.3514,1.0000
23,0.2105,1.0000
24,0.9167,1.0000
25,0.9333,0.9474
26,0.6809,0.9107
27,0.2553,0.3704
28,0.4138,1.0000
29,1.0000,1.0000
30,0.4878,1.0000
31,0.2718,1.0000
32,0.2063,1.0000
33,0.7660,0.8636
34,0.4056,1.0000
35,0.6316,0.7143
36,0.7273,0.8961
37,0.3458,1.0000
38,0.3619,1.0000
39,0.3197,1.0000
40,0.3276,1.0000
41,0.3448,1.0000
42,0.8304,0.9595
43,0.0114,1.0000
44,0.3830,1.0000
45,0.4286,0.7200
46,0.3158,1.0000
47,0.6825,0.9863
48,0.2963,0.7059
49,0.5240,1.0000
50,0.8235,1.0000
51,0.1000,0.1250
52,0.5600,1.0000
53,0.4444,0.9714
54,0.3922,1.0000
55,0.3093,0.8833
56,0.8571,0.9000
57,0.4147,1.0000
58,0.5581,1.0000
59,0.4545,0.8333
60,0.6194,1.0000
61,1.0000,1.0000
62,0.7013,1.0000
63,0.5571,1.0000
64,0.7059,0.7568
65,0.7333,0.9333
66,0.6098,1.0000
67,0.3838,0.9697
68,0.4167,1.0000
69,0.5316,1.0000
70,0.3636,1.0000
71,0.1975,1.0000
72,0.2523,1.0000
73,1.0000,1.0000
74,0.1839,1.0000
75,0.5385,0.8333
76,0.2316,1.0000
77,0.5625,0.6667
78,0.3130,1.0000
79,0.1067,0.9762
80,0.7727,1.0000
81,0.7475,1.0000
82,0.2247,1.0000
83,0.3924,1.0000
84,0.4324,0.6053
85,0.4545,1.0000
86,0.3774,1.0000
87,0.5028,1.0000
88,1.0000,1.0000
89,0.7045,0.8182
90,0.6286,0.6923
91,0.5660,0.6000
92,0.9583,0.9565
93,0.6486,0.8824
94,0.1628,0.9062
95,0.3520,0.1026
96,0.3413,1.0000
97,0.7308,0.8095
98,0.3390,0.9333
99,0.2906,0.5238
100,0.7647,1.0000
101,0.2430,1.0000
102,0.4938,0.8571
103,0.4224,0.9062
104,0.3208,1.0000
105,0.3373,1.0000
106,0.4161,1.0000
107,0.4783,1.0000
108,0.5487,1.0000
109,0.9091,1.0000
110,0.3830,0.6667
111,0.2703,0.9615
112,0.7737,1.0000
113,0.8485,1.0000
114,0.4898,0.9231
115,0.7453,0.9630
116,0.6061,0.7391
117,0.7143,0.6429
118,0.4559,1.0000
119,0.3871,0.9091
120,0.6299,1.0000
121,0.3652,1.0000
122,0.2177,1.0000
123,0.8696,0.8947
124,0.1739,0.8571
125,0.4348,0.8056
126,1.0000,1.0000
127,0.2198,1.0000
128,0.3218,0.9459
129,0.4444,0.8409
130,0.2909,0.9032
131,0.4667,0.9000
132,0.6061,0.8667
133,1.0000,1.0000
134,0.0879,1.0000
135,0.7467,1.0000
136,0.2642,0.9545
137,0.8750,1.0000
138,0.3796,1.0000
139,0.7917,1.0000
140,0.2058,1.0000
141,0.3306,1.0000
142,0.4706,0.8889
143,0.3101,1.0000
144,0.5676,1.0000
145,0.2406,1.0000
146,0.7234,0.8947
147,0.5143,0.9412
148,0.6500,0.8824
149,0.6207,0.6000
150,0.3286,0.9000
151,0.5138,1.0000
152,0.3123,1.0000
153,0.8158,1.0000
154,0.9731,0.9928
155,0.2345,1.0000
156,0.2769,1.0000
157,1.0000,0.9444
158,0.7647,1.0000
159,0.6883,1.0000
160,0.4444,0.9091
161,0.5263,0.8000
162,0.4902,0.9130
163,0.7273,1.0000
164,0.3621,1.0000
165,0.7458,0.7941
166,0.5298,0.9412
167,0.8444,0.5714
168,0.2316,0.8864
169,0.7149,1.0000
170,0.5057,1.0000
171,0.6250,1.0000
172,0.5652,1.0000
173,0.8393,1.0000
174,0.4384,1.0000
175,0.2632,1.0000
176,0.8276,1.0000
177,0.5902,1.0000
178,0.5043,1.0000
179,0.4286,1.0000
180,0.3478,0.4444
181,0.6316,1.0000
182,0.7692,1.0000
183,0.6818,1.0000
184,0.6667,0.9412
185,0.2500,0.7500
186,0.3810,0.7333
187,0.9565,1.0000
188,0.7153,1.0000
189,0.5747,1.0000
190,0.7027,0.8125
191,0.9620,1.0000
192,0.5044,1.0000
193,0.2963,0.7500
194,1.0000,1.0000
195,0.7619,1.0000
196,0.1193,1.0000
197,0.6250,0.8333
198,0.8182,1.0000
199,0.8667,1.0000
