sample_idx,token_f1,faithfulness
0,0.4032,0.8923
1,0.6250,0.8095
2,0.3165,0.8438
3,0.2222,0.4321
4,0.1506,0.7818
5,0.3607,0.8706
6,0.5000,0.7241
7,0.5496,0.8772
8,0.1596,0.8421
9,0.9231,0.8824
10,0.2971,0.8750
11,0.6222,0.8462
12,0.4127,0.5556
13,0.5743,0.7767
14,0.3363,0.6667
15,0.4203,0.7568
16,0.7742,0.4286
17,0.4500,0.6627
18,0.4130,0.5600
19,0.4186,0.5556
20,0.3111,0.6458
21,0.6102,0.7069
22,0.1818,0.5072
23,0.1765,0.7541
24,0.8276,0.8667
25,0.7333,0.9615
26,0.1739,0.5600
27,0.6190,0.6182
28,0.2857,0.4815
29,0.8378,0.9310
30,0.7692,1.0000
31,0.2857,1.0000
32,0.2697,0.5319
33,0.4938,0.5870
34,0.4409,0.8095
35,0.7692,0.7333
36,0.6400,0.7949
37,0.5419,0.7258
38,0.3564,0.8378
39,0.3754,0.7887
40,0.3575,0.7033
41,0.3436,0.7670
42,0.7910,0.8267
43,0.1106,0.7000
44,0.4795,0.9783
45,0.5208,0.6977
46,0.4839,0.9211
47,0.5686,0.8846
48,0.3667,0.3846
49,0.5031,0.6667
50,0.6383,0.7273
51,0.1250,0.1667
52,0.5600,1.0000
53,0.2991,0.8406
54,0.3256,0.7544
55,0.2571,0.7865
56,1.0000,1.0000
57,0.5350,0.9114
58,0.6154,0.8889
59,0.4444,0.7586
60,0.6257,0.7619
61,0.6849,0.8772
62,0.6279,0.8485
63,0.5139,0.9440
64,0.6742,0.7805
65,0.2600,0.5849
66,0.6018,0.7917
67,0.4247,0.9118
68,0.2000,0.8889
69,0.4932,0.9189
70,0.1982,0.8462
71,0.3077,0.3220
72,0.2124,0.7042
73,0.8333,0.8621
74,0.2881,0.7353
75,0.3636,0.5769
76,0.3217,0.5797
77,0.5161,0.7500
78,0.2766,0.7119
79,0.1129,0.1918
80,0.7451,0.7059
81,0.7719,0.9091
82,0.1974,0.8333
83,0.3946,0.8308
84,0.3091,0.4194
85,0.4545,0.8636
86,0.5524,0.8644
87,0.6187,0.7424
88,0.2595,1.0000
89,0.6957,0.9118
90,0.6316,0.6250
91,0.4471,0.5610
92,0.7925,0.8519
93,0.3059,0.5455
94,0.2476,0.6964
95,0.4419,0.0385
96,0.4348,0.6875
97,0.7273,0.9000
98,0.2353,0.7857
99,0.2976,0.2609
100,0.5000,0.4167
101,0.5806,1.0000
102,0.4404,0.8000
103,0.3596,0.5745
104,0.4000,0.8077
105,0.1946,0.7917
106,0.2687,0.5053
107,0.4800,0.9459
108,0.4444,0.6324
109,0.6721,0.7419
110,0.4375,0.3846
111,0.2707,0.6562
112,0.6375,0.6935
113,0.8750,1.0000
114,0.4824,0.7619
115,0.5753,0.5579
116,0.2763,0.4878
117,0.4706,0.4444
118,0.4776,0.9688
119,1.0000,0.4167
120,0.6250,0.7551
121,0.4072,0.8072
122,0.4595,0.4884
123,0.7119,0.6897
124,0.0952,0.8846
125,0.4595,0.7500
126,0.6522,0.7174
127,0.7547,0.9643
128,0.3761,0.9434
129,0.2405,0.6897
130,0.2609,0.6585
131,0.4779,0.8158
132,0.6286,0.8235
133,0.9062,0.9286
134,0.1500,0.7229
135,0.6512,0.7857
136,0.3210,0.3902
137,0.7879,0.9286
138,0.4483,0.7108
139,0.6176,0.8235
140,0.2417,0.7955
141,0.4045,0.8596
142,0.4706,0.8889
143,0.3150,0.6623
144,0.5867,0.8205
145,0.2647,0.8710
146,0.6133,0.8649
147,0.5223,0.7292
148,0.7179,0.9333
149,0.3158,0.5088
150,0.2920,0.6667
151,0.3902,0.6491
152,0.1145,0.9412
153,0.6923,0.7925
154,0.4172,0.8000
155,0.2267,0.8800
156,0.3770,0.6526
157,1.0000,0.9444
158,0.6324,0.7667
159,0.6806,0.8302
160,0.2895,0.8000
161,0.5088,0.6364
162,0.3268,0.6795
163,0.6070,0.8545
164,0.3810,0.7934
165,0.4231,0.8636
166,0.5207,0.7778
167,0.8936,0.5652
168,0.1890,0.5833
169,0.6000,0.7882
170,0.5405,0.6458
171,0.7143,1.0000
172,0.3765,0.7647
173,0.7368,0.8537
174,0.5412,0.9130
175,0.3301,0.8500
176,0.7568,0.7000
177,0.3860,0.8889
178,0.5138,0.7800
179,0.8571,0.9167
180,0.4667,0.5625
181,0.2326,0.6040
182,0.7442,0.7857
183,0.5902,0.6333
184,0.6667,0.9412
185,0.3659,0.7059
186,0.3656,0.6078
187,0.9565,1.0000
188,0.9607,1.0000
189,0.5899,0.9219
190,0.6383,0.8400
191,0.6380,0.6296
192,0.5548,0.8358
193,0.2424,0.8235
194,0.6622,0.6316
195,0.1679,0.7882
196,0.4000,0.8462
197,0.6286,0.7333
198,0.6544,0.6471
199,0.7097,0.7500
