sample_idx,token_f1,faithfulness
0,0.7692,0.7931
1,1.0000,1.0000
2,0.9697,0.9643
3,0.7294,1.0000
4,0.6536,1.0000
5,1.0000,1.0000
6,0.8994,0.8154
7,0.8148,1.0000
8,0.7027,0.9091
9,0.5217,0.9655
10,0.5500,0.9467
11,1.0000,1.0000
12,0.6818,1.0000
13,0.8696,0.8000
14,0.9014,1.0000
15,0.7164,0.7778
16,0.6957,0.6667
17,0.9474,0.9167
18,1.0000,0.7500
19,0.6561,0.9701
20,0.8675,0.9750
21,0.8621,0.9286
22,1.0000,0.9048
23,1.0000,0.9474
24,1.0000,0.9375
25,0.8367,0.9167
26,0.6207,1.0000
27,0.8000,0.9444
28,0.7937,0.5926
29,0.9851,0.8214
30,0.6667,1.0000
31,0.8201,0.9623
32,1.0000,1.0000
33,0.7887,1.0000
34,1.0000,0.9412
35,0.5870,0.8889
36,1.0000,0.8571
37,0.4317,0.9273
38,0.6667,1.0000
39,0.7310,0.9138
40,0.8235,0.6000
41,0.9155,0.8305
42,1.0000,1.0000
43,1.0000,0.9524
44,0.6753,0.9333
45,0.8657,0.9726
46,0.7400,0.8906
47,1.0000,0.8333
48,0.4167,0.6923
49,0.9231,0.9091
50,1.0000,0.9231
51,1.0000,0.7500
52,0.6753,0.8462
53,0.8889,1.0000
54,0.9118,0.9429
55,0.6667,0.8750
56,1.0000,0.8750
57,0.8704,0.9412
58,0.7532,0.9524
59,0.9195,0.9697
60,0.9375,0.9730
61,0.8000,0.9048
62,1.0000,1.0000
63,0.7835,0.9545
64,0.5946,0.9583
65,0.9362,1.0000
66,0.5373,0.9000
67,1.0000,1.0000
68,1.0000,0.6000
69,0.7200,1.0000
70,0.8661,0.9778
71,0.5385,0.8947
72,0.6364,1.0000
73,0.1935,1.0000
74,0.6400,0.8462
75,1.0000,0.8947
76,0.5294,0.8333
77,1.0000,0.9286
78,0.6512,0.9412
79,0.7387,0.8000
80,0.7000,0.3750
81,0.5714,1.0000
82,0.9630,1.0000
83,1.0000,0.9000
84,1.0000,0.7857
85,0.5217,0.8889
86,0.8434,0.9070
87,1.0000,0.9091
88,0.8421,0.9474
89,0.7541,0.9468
90,0.6265,0.9643
91,1.0000,1.0000
92,0.4795,0.8143
93,0.7792,0.9189
94,0.7416,0.8750
95,1.0000,0.7000
96,0.8333,0.7838
97,1.0000,0.9167
98,0.7568,0.9500
99,1.0000,0.8000
100,0.6462,0.9750
101,0.7042,0.7778
102,0.6846,0.9623
103,0.5385,0.6667
104,0.5882,0.9821
105,1.0000,0.8750
106,0.6250,1.0000
107,0.7826,0.9167
108,0.8986,0.9245
109,0.6512,1.0000
110,0.5792,0.8272
111,0.6216,0.9000
112,0.5760,0.6735
113,0.9474,1.0000
114,0.9474,1.0000
115,1.0000,0.9412
116,1.0000,0.9545
117,0.6992,0.9057
118,0.6842,0.8462
119,0.6923,0.9062
120,1.0000,1.0000
121,0.5812,0.8542
122,0.9091,0.6000
123,0.5567,0.9714
124,1.0000,1.0000
125,0.8333,1.0000
126,0.8800,1.0000
127,0.5743,0.8824
128,0.9375,0.9286
129,0.9402,0.8611
130,1.0000,0.9583
131,1.0000,0.9286
132,0.9444,0.9375
133,1.0000,1.0000
134,0.6490,0.8163
135,0.3214,0.8974
136,0.6723,0.8537
137,0.1639,0.8000
138,0.8571,0.9167
139,0.6809,0.8085
140,0.5938,0.7805
141,0.7636,0.8846
142,0.7826,0.8889
143,1.0000,1.0000
144,0.5366,0.9655
145,0.6957,1.0000
146,1.0000,0.9167
147,1.0000,0.9167
148,0.7473,1.0000
149,0.6733,0.8980
150,0.3871,0.7636
151,1.0000,1.0000
152,1.0000,1.0000
153,1.0000,1.0000
154,0.9286,0.9583
155,0.4915,0.6818
156,0.4587,0.7273
157,1.0000,0.8333
158,0.7500,0.7857
159,0.5691,0.8621
160,1.0000,0.7273
161,0.7719,0.9167
162,0.9762,0.9836
163,0.9091,0.9333
164,0.6190,0.9286
165,0.8736,0.9706
166,0.9091,0.9167
167,0.6667,0.8095
168,0.9355,0.9375
169,0.8916,1.0000
170,0.9565,0.6364
171,0.7500,0.6667
172,0.7143,0.6667
173,0.2500,0.8571
174,0.7647,1.0000
175,0.9394,0.9583
176,0.9048,0.9474
177,0.9697,0.8667
178,0.9231,0.9643
179,1.0000,1.0000
180,0.7000,0.9394
181,0.6000,0.7917
182,1.0000,0.6154
183,1.0000,1.0000
184,1.0000,1.0000
185,0.9412,0.9200
186,1.0000,0.8750
187,0.9412,1.0000
188,0.6957,1.0000
189,0.7129,0.8000
190,1.0000,0.8750
191,0.7176,0.8667
192,0.5965,0.7500
193,1.0000,1.0000
194,0.3621,0.9675
195,0.6667,1.0000
196,1.0000,1.0000
197,0.2273,0.9583
198,0.7559,0.9024
199,1.0000,1.0000
