sample_idx,token_f1,faithfulness
0,0.3838,0.6239
1,1.0000,1.0000
2,0.4348,0.5400
3,0.7692,0.9444
4,0.3855,0.6759
5,1.0000,1.0000
6,0.3604,0.4534
7,0.5366,0.7500
8,0.4000,0.4222
9,0.4286,0.6944
10,0.5333,0.6333
11,0.4000,0.7742
12,0.2899,0.8261
13,0.9600,0.8333
14,0.6168,0.9153
15,0.3484,0.5443
16,0.5625,0.6857
17,0.5049,0.6727
18,1.0000,0.7500
19,0.5073,0.8729
20,0.7174,0.8444
21,0.4400,0.5593
22,0.8679,0.7692
23,0.1949,0.7479
24,0.6400,0.8667
25,0.4096,0.6914
26,0.5667,0.9189
27,0.3478,0.9070
28,0.4536,0.4167
29,0.6593,0.6809
30,0.3429,0.8889
31,0.6455,0.6905
32,0.6486,0.9545
33,0.4954,0.6724
34,1.0000,0.9412
35,0.4590,0.7037
36,0.8667,0.7500
37,0.4651,0.6279
38,0.5714,0.7097
39,0.3924,0.5072
40,0.6087,0.6875
41,0.2799,0.6981
42,0.9231,1.0000
43,0.7097,0.8125
44,0.3585,0.5593
45,0.5361,0.6960
46,0.7296,0.7763
47,1.0000,0.8333
48,0.5897,0.7042
49,0.9231,0.9091
50,0.8485,0.8750
51,1.0000,0.7500
52,0.4715,0.6379
53,0.6154,0.8605
54,0.8235,0.8857
55,0.2391,0.8000
56,0.3556,0.6667
57,0.6759,0.7534
58,0.5455,0.7826
59,0.2868,0.7500
60,0.8929,0.8605
61,0.9552,0.9091
62,1.0000,1.0000
63,0.5785,0.7885
64,0.2750,0.8667
65,0.3932,0.7020
66,0.3128,0.6283
67,1.0000,1.0000
68,0.2632,0.3404
69,0.6095,0.8958
70,0.5475,0.6438
71,0.3544,0.5750
72,0.2917,0.9143
73,0.1667,0.3158
74,0.4651,0.7667
75,0.3297,0.4906
76,0.7647,0.6667
77,0.4643,0.8611
78,0.5750,0.6364
79,0.5081,0.7500
80,0.2833,0.3154
81,0.6267,0.9677
82,0.5814,0.7045
83,1.0000,0.9000
84,1.0000,0.7857
85,0.3837,0.7105
86,0.6071,0.6515
87,0.4082,0.8286
88,0.3030,0.5161
89,0.5027,0.7083
90,0.4844,0.6780
91,0.4138,0.7857
92,0.3628,0.5714
93,0.4786,0.9333
94,0.5833,0.7231
95,0.4545,0.5714
96,0.3095,0.6200
97,0.4444,0.8462
98,0.7368,0.9524
99,0.8837,0.8261
100,0.5484,0.8472
101,0.3390,0.5079
102,0.3885,0.8435
103,0.3333,0.4074
104,0.6458,0.7179
105,0.5763,0.8889
106,0.3333,0.6000
107,0.4938,0.8298
108,0.8082,0.7500
109,0.2958,0.5584
110,0.3103,0.5612
111,0.5577,0.7500
112,0.3046,0.5064
113,0.2857,0.7333
114,0.5455,0.8000
115,1.0000,0.9412
116,0.4211,0.5556
117,0.3352,0.7021
118,0.7368,0.8462
119,0.7143,0.8182
120,1.0000,1.0000
121,0.3036,0.7101
122,0.8780,0.6190
123,0.3610,0.6471
124,1.0000,1.0000
125,0.3377,0.8235
126,0.4156,0.7073
127,0.3347,0.7778
128,0.4348,0.6512
129,0.7333,0.8525
130,0.6582,0.7442
131,0.7742,0.8750
132,0.6667,0.7500
133,0.7010,0.7917
134,0.6255,0.8081
135,0.1552,0.6216
136,0.4151,0.6742
137,0.1778,0.6716
138,0.5926,0.7333
139,0.2710,0.4098
140,0.3985,0.5952
141,0.5432,0.7872
142,0.5116,0.6296
143,0.4762,0.7791
144,0.4000,0.8108
145,0.1207,0.5357
146,0.5714,0.8519
147,0.9231,0.9286
148,0.4122,0.7467
149,0.4310,0.6364
150,0.3509,0.6471
151,0.7000,0.6923
152,1.0000,1.0000
153,0.7368,0.7838
154,0.8387,0.9655
155,0.4748,0.4590
156,0.2953,0.4940
157,0.7500,0.8889
158,0.2609,0.6739
159,0.6901,0.8387
160,0.3860,0.3947
161,0.6857,0.7576
162,0.7263,0.7867
163,0.3579,0.4655
164,0.4105,0.5309
165,0.3636,0.7826
166,0.3175,0.5106
167,0.2254,0.5745
168,0.6353,0.8235
169,0.4928,0.8472
170,0.9565,0.6364
171,0.4308,0.7674
172,0.5263,0.6429
173,0.2500,0.8571
174,0.6341,0.9231
175,0.3889,0.6552
176,0.2931,0.6571
177,1.0000,0.8125
178,0.4960,0.7377
179,0.3810,0.6923
180,0.4088,0.7745
181,0.4138,0.6667
182,0.5385,0.5000
183,1.0000,1.0000
184,0.4583,1.0000
185,0.8235,0.8462
186,0.5294,0.7568
187,0.8421,0.8421
188,0.5028,0.7375
189,0.3041,0.4679
190,0.4912,0.7059
191,0.4423,0.6832
192,0.3419,0.4783
193,1.0000,1.0000
194,0.4082,0.7778
195,0.5231,0.6000
196,0.6667,0.5455
197,0.0946,0.6869
198,0.5824,0.7059
199,0.7179,0.9091
